tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean ,50,0,0,10, 83.3% , 3985.31 ,408048,284476
haskell ,60,0,0,0, 100% , 947.28 ,408048,284660
lnt ,51,9,0,0, 85.0% , 495.84 ,235440,104912
lotos ,51,9,0,0, 85.0% , 472.57 ,235440,103904
maude ,51,5,1,3, 85.0% , 1860.14 ,216400,88624
mcrl2-default ,42,0,10,8, 70.0% , 5066.23 ,375680,249364
mcrl2-jittyc ,44,0,7,9, 73.3% , 4577.73 ,400432,269756
ocaml ,45,4,0,11, 75.0% , 4881.38 ,371756,246384
opal ,55,1,4,0, 91.7% , 965.29 ,411740,287768
rascal-compil ,35,2,0,23, 58.3% , 11091.2 ,470880,340052
rascal-interp ,32,2,0,26, 53.3% , 9726.13 ,235440,105816
scala ,42,5,0,13, 70.0% , 6058.91 ,470880,340176
sml-mlton ,44,6,0,10, 73.3% , 4498.19 ,407352,280880
sml-smlnj ,43,6,0,11, 71.7% , 4466.36 ,235440,105364
stratego ,30,22,0,8, 50.0% , 3939.73 ,235440,105196
tom ,46,2,0,12, 76.7% , 6075.16 ,466956,335928
