tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 31 , 4 , 1 , 34 , 44.3% , 13948 , 705320 , 129560
cafeobj-b , 38 , 8 , 3 , 21 , 54.3% , 10172.9 , 705320 , 127972
clean , 40 , 23 , 0 , 7 , 57.1% , 2629.41 , 1060212 , 674008
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 2696.71 , 1132164 , 695264
haskell , 68 , 0 , 0 , 2 , 97.1% , 2091.73 , 1176796 , 765584
lnt , 63 , 7 , 0 , 0 , 90.0% , 3071.95 , 705320 , 128584
lotos , 63 , 7 , 0 , 0 , 90.0% , 2914.48 , 705320 , 126428
maude , 67 , 0 , 0 , 3 , 95.7% , 2122.42 , 579404 , 91520
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9910.02 , 972188 , 459464
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8089.11 , 1050136 , 475084
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2718.93 , 1176796 , 765696
ocaml-interp , 61 , 2 , 0 , 7 , 87.1% , 3854.72 , 888988 , 440212
opal , 59 , 0 , 1 , 10 , 84.3% , 4799.77 , 1124004 , 678204
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14281.7 , 1299804 , 723848
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12301.8 , 705320 , 128912
scala , 49 , 6 , 0 , 15 , 70.0% , 7205.08 , 1340108 , 763608
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4998.23 , 1182296 , 724276
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5630.6 , 705320 , 129040
stratego , 49 , 0 , 0 , 21 , 70.0% , 9027.68 , 705320 , 128572
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8044.22 , 1309880 , 734296
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5954.45 , 1390488 , 814300
