tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 46 , 0 , 0 , 10 , 82.1% , 3982.98 , 382368 , 266460
haskell , 56 , 0 , 0 , 0 , 100% , 931.58 , 380464 , 265072
lnt , 49 , 7 , 0 , 0 , 87.5% , 485.05 , 219744 , 97468
lotos , 49 , 7 , 0 , 0 , 87.5% , 465.57 , 219744 , 97784
maude , 49 , 3 , 1 , 3 , 87.5% , 1845.62 , 212128 , 91740
mcrl2-default , 40 , 0 , 8 , 8 , 71.4% , 5065.95 , 342384 , 224012
mcrl2-jittyc , 42 , 0 , 5 , 9 , 75.0% , 4506.92 , 380464 , 258604
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4874.8 , 359520 , 242824
opal , 53 , 0 , 3 , 0 , 94.6% , 884.31 , 386176 , 270076
rascal-compil , 32 , 1 , 0 , 23 , 57.1% , 10880.4 , 439488 , 318532
rascal-interp , 29 , 1 , 0 , 26 , 51.8% , 9671.33 , 219744 , 97820
scala , 40 , 4 , 0 , 12 , 71.4% , 5627.33 , 439488 , 317136
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4414.85 , 379884 , 262888
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4377.25 , 219744 , 98108
tom , 44 , 1 , 0 , 11 , 78.6% , 5701.81 , 439488 , 317456
