tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 46 , 0 , 0 , 10 , 82.1% , 3982.49 , 382368 , 267460
haskell , 56 , 0 , 0 , 0 , 100% , 919.85 , 380464 , 265564
lnt , 49 , 7 , 0 , 0 , 87.5% , 487.55 , 219744 , 98948
lotos , 49 , 7 , 0 , 0 , 87.5% , 440.53 , 219744 , 98220
maude , 49 , 3 , 1 , 3 , 87.5% , 1848.33 , 208320 , 87916
mcrl2-innermost , 40 , 0 , 8 , 8 , 71.4% , 5057.45 , 342384 , 223604
mcrl2-jittyc , 39 , 0 , 8 , 9 , 69.6% , 4503.72 , 374752 , 252712
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4876.75 , 342384 , 225564
opal , 53 , 0 , 3 , 0 , 94.6% , 879.92 , 386176 , 270620
rascal-compil , 32 , 1 , 0 , 23 , 57.1% , 10849.7 , 439488 , 317280
rascal-interp , 29 , 1 , 0 , 26 , 51.8% , 9663.07 , 219744 , 97952
scala , 40 , 4 , 0 , 12 , 71.4% , 5630.17 , 439488 , 317376
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4428.41 , 377980 , 261280
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4435.41 , 219744 , 98208
tom , 44 , 1 , 0 , 11 , 78.6% , 5676.96 , 439488 , 317468
