tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 54 , 10 , 0 , 6 , 77.1% , 2609.44 , 457040 , 311148
haskell , 70 , 0 , 0 , 0 , 100% , 1849.62 , 478912 , 334516
lnt , 62 , 8 , 0 , 0 , 88.6% , 1138.59 , 274680 , 122444
lotos , 62 , 8 , 0 , 0 , 88.6% , 982.57 , 274680 , 122940
maude , 64 , 2 , 1 , 3 , 91.4% , 2105.46 , 246120 , 97576
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9540.71 , 415036 , 265036
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8151.32 , 435980 , 282840
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2776.65 , 475104 , 331228
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3966.7 , 387520 , 241720
opal , 57 , 1 , 2 , 10 , 81.4% , 4752.86 , 450980 , 304860
rascal-compil , 35 , 4 , 0 , 31 , 50.0% , 14759.6 , 506196 , 355068
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12267.8 , 274680 , 123248
scala , 49 , 10 , 0 , 11 , 70.0% , 5912.81 , 521892 , 369976
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4663.53 , 470600 , 324760
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5661.3 , 274680 , 122188
stratego , 48 , 3 , 0 , 19 , 68.6% , 8287.09 , 274680 , 122088
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7570.91 , 510120 , 357952
tom-b , 55 , 8 , 0 , 7 , 78.6% , 4994.59 , 521892 , 369404
