tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 56 , 0 , 0 , 0 , 100% , 924.73 , 380464 , 265124
lnt , 49 , 7 , 0 , 0 , 87.5% , 489.26 , 219744 , 98352
lotos , 49 , 7 , 0 , 0 , 87.5% , 457.65 , 219744 , 98972
maude , 49 , 3 , 1 , 3 , 87.5% , 1856.8 , 202608 , 83008
mcrl2 , 40 , 0 , 8 , 8 , 71.4% , 5074.18 , 344288 , 225504
mcrl2-jittyc , 39 , 0 , 8 , 9 , 69.6% , 4500.76 , 374752 , 252940
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4837.42 , 340480 , 224692
opal , 53 , 0 , 3 , 0 , 94.6% , 887.63 , 382368 , 267640
rascal , 29 , 1 , 0 , 26 , 51.8% , 9662.08 , 219744 , 98984
scala , 40 , 4 , 0 , 12 , 71.4% , 5671.18 , 439488 , 317924
sml-mlton , 40 , 5 , 0 , 11 , 71.4% , 4448.65 , 379884 , 263144
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4390.51 , 219744 , 98684
tom , 44 , 1 , 0 , 11 , 78.6% , 5745.96 , 439488 , 318276
