tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 39 , 20 , 3 , 7 , 56.5% , 2628.87 , 1052052 , 665852
haskell , 67 , 0 , 0 , 2 , 97.1% , 2083.23 , 1162640 , 755112
lnt , 62 , 7 , 0 , 0 , 89.9% , 2824.5 , 695244 , 125236
lotos , 62 , 7 , 0 , 0 , 89.9% , 2696.76 , 695244 , 126200
maude , 66 , 0 , 0 , 3 , 95.7% , 2121.09 , 563332 , 87620
mcrl2-default , 45 , 0 , 2 , 22 , 65.2% , 9926.16 , 946040 , 441452
mcrl2-jittyc , 52 , 0 , 0 , 17 , 75.4% , 8044.91 , 1023988 , 455276
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4109.41 , 1012740 , 570848
opal , 58 , 0 , 1 , 10 , 84.1% , 4449.7 , 1109848 , 668452
rascal-compil , 38 , 2 , 0 , 29 , 55.1% , 13410.1 , 1289728 , 722372
rascal-interp , 37 , 1 , 0 , 31 , 53.6% , 12258.7 , 695244 , 126764
scala , 48 , 9 , 0 , 12 , 69.6% , 6985.63 , 1299804 , 731288
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4964.81 , 1156148 , 710296
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5639.16 , 695244 , 127420
stratego , 36 , 16 , 0 , 17 , 52.2% , 7321.6 , 695244 , 127460
tom , 51 , 1 , 0 , 17 , 73.9% , 8022.17 , 1289728 , 721668
