tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 59 , 8 , 0 , 2 , 85.5% , 805.95 , 420632 , 280268
haskell , 69 , 0 , 0 , 0 , 100% , 1878.15 , 471064 , 328088
lnt , 61 , 8 , 0 , 0 , 88.4% , 1661.41 , 270756 , 120680
lotos , 61 , 8 , 0 , 0 , 88.4% , 1122.74 , 270756 , 120348
maude , 63 , 2 , 1 , 3 , 91.3% , 2144.74 , 234580 , 88016
mcrl2-default , 43 , 0 , 6 , 20 , 62.3% , 9721.76 , 405284 , 258280
mcrl2-jittyc , 47 , 0 , 4 , 18 , 68.1% , 8244.36 , 424324 , 273864
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4212.42 , 429176 , 285780
opal , 57 , 1 , 2 , 9 , 82.6% , 4365.85 , 445152 , 301604
rascal-compil , 36 , 2 , 0 , 31 , 52.2% , 14624.5 , 506196 , 355576
rascal-interp , 36 , 2 , 0 , 31 , 52.2% , 12192.1 , 270756 , 119944
scala , 49 , 10 , 0 , 10 , 71.0% , 5721.99 , 517968 , 367464
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4617.17 , 466560 , 321564
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5694.17 , 270756 , 120428
stratego , 47 , 3 , 0 , 19 , 68.1% , 8217.81 , 270756 , 120464
tom , 52 , 2 , 0 , 15 , 75.4% , 7548.7 , 506196 , 356620
