tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 31 , 0 , 6 , 33 , 44.3% , 14835.2 , 274680 , 122548
cafeobj-b , 38 , 0 , 7 , 25 , 54.3% , 12303.5 , 274680 , 123660
clean , 30 , 30 , 8 , 2 , 42.9% , 805.35 , 428480 , 286680
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 2622.83 , 457040 , 311816
haskell , 70 , 0 , 0 , 0 , 100% , 1851.95 , 477008 , 333088
lnt , 62 , 8 , 0 , 0 , 88.6% , 1148.83 , 274680 , 123488
lotos , 62 , 8 , 0 , 0 , 88.6% , 988.59 , 274680 , 123352
maude , 70 , 0 , 0 , 0 , 100% , 24.31 , 217560 , 72432
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9584.82 , 415036 , 265264
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8138.98 , 432172 , 281408
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2768.07 , 478912 , 334804
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3928.02 , 385616 , 240296
opal , 57 , 1 , 2 , 10 , 81.4% , 4744.66 , 449076 , 303792
rascal-compil , 35 , 4 , 0 , 31 , 50.0% , 14603.9 , 506196 , 355288
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12273.2 , 274680 , 123420
scala , 49 , 10 , 0 , 11 , 70.0% , 5907.89 , 521892 , 369260
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4643.87 , 472504 , 327276
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5652.14 , 274680 , 123532
stratego , 48 , 3 , 0 , 19 , 68.6% , 8254.48 , 274680 , 122564
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7538.32 , 510120 , 358300
tom-b , 57 , 6 , 0 , 7 , 81.4% , 5004.25 , 529740 , 378232
