tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 52 , 9 , 2 , 6 , 75.4% , 2655.35 , 1112012 , 683632
haskell , 67 , 0 , 0 , 2 , 97.1% , 2085.28 , 1162640 , 754928
lnt , 53 , 16 , 0 , 0 , 76.8% , 2193.97 , 695244 , 125968
lotos , 61 , 8 , 0 , 0 , 88.4% , 2702.03 , 695244 , 124616
maude , 61 , 5 , 0 , 3 , 88.4% , 2029.77 , 575324 , 90600
mcrl2-default , 38 , 0 , 13 , 18 , 55.1% , 8182.28 , 910064 , 430888
mcrl2-jittyc , 45 , 0 , 8 , 16 , 65.2% , 7351.23 , 1017992 , 449224
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4084.96 , 1012740 , 571024
opal , 55 , 0 , 4 , 10 , 79.7% , 4426.75 , 1109848 , 668600
rascal-compil , 38 , 2 , 0 , 29 , 55.1% , 13385.3 , 1289728 , 721932
rascal-interp , 39 , 1 , 0 , 29 , 56.5% , 11928.9 , 695244 , 126812
scala , 48 , 9 , 0 , 12 , 69.6% , 7052.89 , 1299804 , 731784
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4996.5 , 1156148 , 710744
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5609.51 , 695244 , 126840
stratego , 37 , 15 , 0 , 17 , 53.6% , 7321.63 , 695244 , 126940
tom , 51 , 1 , 0 , 17 , 73.9% , 8086.98 , 1289728 , 721328
