tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 54 , 0 , 0 , 2 , 96.4% , 672.95 , 942636 , 612792
lnt , 49 , 0 , 0 , 7 , 87.5% , 1303.52 , 564256 , 98532
lotos , 49 , 0 , 0 , 7 , 87.5% , 1262.01 , 564256 , 99624
maude , 49 , 3 , 0 , 4 , 87.5% , 1050.21 , 444336 , 67692
mcrl2 , 30 , 0 , 12 , 14 , 53.6% , 2363.44 , 756760 , 384564
mcrl2-jittyc , 37 , 0 , 8 , 11 , 66.1% , 2160.53 , 864688 , 403524
ocaml , 41 , 2 , 0 , 13 , 73.2% , 2039.14 , 786740 , 436196
opal , 52 , 0 , 3 , 1 , 92.9% , 745.78 , 954628 , 616252
rascal , 29 , 2 , 0 , 25 , 51.8% , 3865.26 , 564256 , 103600
scala , 39 , 3 , 0 , 14 , 69.6% , 2821.25 , 1108360 , 648064
sml-mlton , 40 , 5 , 0 , 11 , 71.4% , 2233.88 , 952216 , 580316
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 1940.48 , 564256 , 103260
tom , 41 , 1 , 0 , 14 , 73.2% , 2989.73 , 1128512 , 666624
