tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 46 , 0 , 0 , 10 , 82.1% , 3982.28 , 382368 , 266572
haskell , 56 , 0 , 0 , 0 , 100% , 933.65 , 380464 , 265868
lnt , 49 , 7 , 0 , 0 , 87.5% , 487.75 , 219744 , 97676
lotos , 49 , 7 , 0 , 0 , 87.5% , 457.45 , 219744 , 97688
maude , 49 , 3 , 1 , 3 , 87.5% , 1856.52 , 191184 , 72616
mcrl2-default , 40 , 0 , 8 , 8 , 71.4% , 5063.13 , 342384 , 224032
mcrl2-jittyc , 42 , 0 , 5 , 9 , 75.0% , 4502.62 , 382368 , 261104
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4873.22 , 348096 , 232356
opal , 53 , 0 , 3 , 0 , 94.6% , 891.61 , 382368 , 266400
rascal-compil , 32 , 1 , 0 , 23 , 57.1% , 10910.3 , 439488 , 317668
rascal-interp , 29 , 1 , 0 , 26 , 51.8% , 9665.85 , 219744 , 97568
scala , 40 , 4 , 0 , 12 , 71.4% , 5626.49 , 439488 , 317656
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4428.71 , 379884 , 262312
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4410.35 , 219744 , 98676
tom , 44 , 1 , 0 , 11 , 78.6% , 5696.56 , 439488 , 317836
