tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 54 , 10 , 0 , 6 , 77.1% , 2697.88 , 1132164 , 695272
haskell , 68 , 0 , 0 , 2 , 97.1% , 2095.26 , 1176796 , 765340
lnt , 63 , 7 , 0 , 0 , 90.0% , 3012.8 , 705320 , 127924
lotos , 63 , 7 , 0 , 0 , 90.0% , 2859.83 , 705320 , 126756
maude , 67 , 0 , 0 , 3 , 95.7% , 2124.63 , 573408 , 88440
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9902.58 , 972188 , 458512
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8090.63 , 1050136 , 473476
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2705.91 , 1188788 , 769384
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 4110.83 , 1026896 , 576740
opal , 59 , 0 , 1 , 10 , 84.3% , 4802.57 , 1118008 , 676508
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14253.3 , 1299804 , 721776
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12267.5 , 705320 , 128868
scala , 50 , 6 , 0 , 14 , 71.4% , 7192.31 , 1340108 , 762980
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5009.92 , 1170304 , 720436
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5692 , 705320 , 128760
stratego , 49 , 0 , 0 , 21 , 70.0% , 9014.43 , 705320 , 129704
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8016.94 , 1309880 , 732880
tom-b , 61 , 1 , 0 , 8 , 87.1% , 5983.9 , 1400564 , 824088
