tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 40 , 20 , 3 , 7 , 57.1% , 2630.08 , 1066208 , 675764
haskell , 68 , 0 , 0 , 2 , 97.1% , 2106.32 , 1176796 , 765284
lnt , 63 , 7 , 0 , 0 , 90.0% , 3022.97 , 705320 , 127740
lotos , 63 , 7 , 0 , 0 , 90.0% , 2848.16 , 705320 , 128416
maude , 67 , 0 , 0 , 3 , 95.7% , 2130.27 , 573408 , 89764
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9884.2 , 960196 , 451256
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8082.42 , 1038144 , 461740
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4108.47 , 1020900 , 575024
opal , 59 , 0 , 1 , 10 , 84.3% , 4525.51 , 1118008 , 676480
rascal-compil , 38 , 1 , 0 , 31 , 54.3% , 14215.2 , 1309880 , 733140
rascal-interp , 41 , 0 , 0 , 29 , 58.6% , 12197.5 , 705320 , 127656
scala , 51 , 7 , 0 , 12 , 72.9% , 6980.67 , 1340108 , 761896
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5052.58 , 1176300 , 722528
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5696.09 , 705320 , 128800
stratego , 49 , 0 , 0 , 21 , 70.0% , 9033.88 , 705320 , 128012
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8085.61 , 1309880 , 732088
tom-b , 61 , 1 , 0 , 8 , 87.1% , 5951.54 , 1400564 , 822612
