tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 40 , 19 , 4 , 7 , 57.1% , 2628.33 , 1060212 , 673736
haskell , 68 , 0 , 0 , 2 , 97.1% , 2097.71 , 1176796 , 765128
lnt , 63 , 7 , 0 , 0 , 90.0% , 3037.61 , 705320 , 127784
lotos , 63 , 7 , 0 , 0 , 90.0% , 2880.67 , 705320 , 126560
maude , 67 , 0 , 0 , 3 , 95.7% , 2129.28 , 579404 , 91432
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9913.01 , 972188 , 459596
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8084.78 , 1050136 , 474188
ocaml-compil , 57 , 7 , 0 , 6 , 81.4% , 2933.88 , 1142240 , 705968
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 4112.49 , 1038888 , 588580
opal , 59 , 0 , 1 , 10 , 84.3% , 4805.99 , 1124004 , 678820
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14301.1 , 1299804 , 723644
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12311.1 , 705320 , 127220
scala , 51 , 7 , 0 , 12 , 72.9% , 6948.86 , 1340108 , 763612
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5030.23 , 1176300 , 722548
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5682.74 , 705320 , 127560
stratego , 49 , 0 , 0 , 21 , 70.0% , 9029.02 , 705320 , 127504
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8000.14 , 1309880 , 733072
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5905.24 , 1390488 , 814008
