tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 39 , 21 , 2 , 7 , 56.5% , 2629.36 , 1046056 , 662176
haskell , 67 , 0 , 0 , 2 , 97.1% , 2093.57 , 1162640 , 752976
lnt , 62 , 7 , 0 , 0 , 89.9% , 3462.16 , 695244 , 124352
lotos , 62 , 6 , 0 , 1 , 89.9% , 3381.01 , 695244 , 125336
maude , 66 , 0 , 0 , 3 , 95.7% , 2127.49 , 563332 , 85724
mcrl2-default , 45 , 0 , 2 , 22 , 65.2% , 9900.39 , 946040 , 438628
mcrl2-jittyc , 52 , 0 , 0 , 17 , 75.4% , 8057.1 , 1017992 , 446600
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4109.73 , 1006744 , 563332
opal , 58 , 0 , 1 , 10 , 84.1% , 4536.05 , 1103852 , 665848
rascal-compil , 38 , 0 , 0 , 31 , 55.1% , 14165.4 , 1299804 , 731920
rascal-interp , 39 , 0 , 0 , 30 , 56.5% , 12233.3 , 695244 , 126564
scala , 51 , 5 , 0 , 13 , 73.9% , 7186.35 , 1330032 , 761072
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4985.6 , 1174136 , 715436
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5683.76 , 695244 , 125784
stratego , 48 , 0 , 0 , 21 , 69.6% , 9025.62 , 695244 , 127572
tom , 52 , 0 , 0 , 17 , 75.4% , 8042.96 , 1299804 , 730864
