tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 31 , 8 , 0 , 31 , 44.3% , 12481.4 , 274680 , 122360
cafeobj-b , 38 , 15 , 0 , 17 , 54.3% , 8529.09 , 274680 , 122956
clean , 30 , 30 , 8 , 2 , 42.9% , 805.65 , 428480 , 286508
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 2623.34 , 457040 , 312436
haskell , 70 , 0 , 0 , 0 , 100% , 1857.52 , 475104 , 331568
lnt , 62 , 8 , 0 , 0 , 88.6% , 1138.49 , 274680 , 122916
lotos , 62 , 8 , 0 , 0 , 88.6% , 998.22 , 274680 , 123632
maude , 64 , 2 , 1 , 3 , 91.4% , 2115.85 , 240408 , 92620
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9574.39 , 426460 , 277768
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8147.2 , 439788 , 289144
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2768.18 , 478912 , 335560
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3937.92 , 393232 , 247572
opal , 57 , 1 , 2 , 10 , 81.4% , 4761.13 , 449076 , 303460
rascal-compil , 35 , 4 , 0 , 31 , 50.0% , 14540 , 506196 , 355740
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12313 , 274680 , 124136
scala , 49 , 11 , 0 , 10 , 70.0% , 6102.77 , 521892 , 370460
sml-mlton , 57 , 5 , 0 , 8 , 81.4% , 4662.29 , 472504 , 325844
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5688.87 , 274680 , 123684
stratego , 48 , 3 , 0 , 19 , 68.6% , 8273.93 , 274680 , 124280
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7572.85 , 510120 , 358856
tom-b , 56 , 7 , 0 , 7 , 80.0% , 5057.7 , 525816 , 374564
