tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 30 , 30 , 8 , 2 , 42.9% , 806.51 , 428480 , 286084
haskell , 70 , 0 , 0 , 0 , 100% , 1854.36 , 477008 , 332900
lnt , 62 , 8 , 0 , 0 , 88.6% , 1131.59 , 274680 , 122940
lotos , 62 , 8 , 0 , 0 , 88.6% , 981.27 , 274680 , 121636
maude , 64 , 2 , 1 , 3 , 91.4% , 2107.95 , 246120 , 97108
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9552.84 , 409324 , 259796
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8145.32 , 434076 , 282032
ocaml-compil , 56 , 8 , 0 , 6 , 80.0% , 3006.66 , 453232 , 307948
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 4213.73 , 448448 , 302308
opal , 57 , 1 , 2 , 10 , 81.4% , 4752.19 , 449076 , 303080
rascal-compil , 35 , 4 , 0 , 31 , 50.0% , 14288.1 , 506196 , 353908
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12484.9 , 274680 , 121720
scala , 49 , 11 , 0 , 10 , 70.0% , 5672.76 , 521892 , 370252
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4646.17 , 474408 , 327156
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5709.98 , 274680 , 123112
stratego , 48 , 3 , 0 , 19 , 68.6% , 8279.75 , 274680 , 122056
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7584.95 , 510120 , 357168
tom-b , 55 , 8 , 0 , 7 , 78.6% , 4914.8 , 521892 , 368940
