tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 60 , 0 , 8 , 2 , 85.7% , 805.36 , 426576 , 283924
haskell , 70 , 0 , 0 , 0 , 100% , 1852.88 , 477008 , 332240
lnt , 62 , 8 , 0 , 0 , 88.6% , 1142.36 , 274680 , 123324
lotos , 62 , 8 , 0 , 0 , 88.6% , 975.83 , 274680 , 123124
maude , 64 , 2 , 1 , 3 , 91.4% , 2105.64 , 255640 , 105676
mcrl2-default , 44 , 0 , 6 , 20 , 62.9% , 9539.63 , 409324 , 260032
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8142.51 , 430268 , 277288
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4212.25 , 440832 , 295152
opal , 58 , 1 , 2 , 9 , 82.9% , 4393.86 , 453000 , 307980
rascal-compil , 36 , 3 , 0 , 31 , 51.4% , 14381.1 , 510120 , 357872
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12524 , 274680 , 122332
scala , 50 , 9 , 0 , 11 , 71.4% , 6233.99 , 521892 , 369148
sml-mlton , 57 , 5 , 0 , 8 , 81.4% , 4671.85 , 470600 , 324072
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5695.84 , 274680 , 123024
stratego , 48 , 3 , 0 , 19 , 68.6% , 8238.09 , 274680 , 123028
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7545.02 , 510120 , 358072
tom-b , 56 , 7 , 0 , 7 , 80.0% , 5054.2 , 525816 , 373704
