tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 31 , 4 , 4 , 31 , 44.3% , 13957.2 , 705320 , 128104
cafeobj-b , 38 , 8 , 3 , 21 , 54.3% , 10182 , 705320 , 129332
clean , 40 , 21 , 2 , 7 , 57.1% , 2630.94 , 1060212 , 674044
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 2695.32 , 1132164 , 695684
haskell , 68 , 0 , 0 , 2 , 97.1% , 2095.01 , 1176796 , 765596
lnt , 63 , 7 , 0 , 0 , 90.0% , 2970.45 , 705320 , 126928
lotos , 63 , 7 , 0 , 0 , 90.0% , 2819.78 , 705320 , 129104
maude , 67 , 0 , 0 , 3 , 95.7% , 2128.42 , 579404 , 90832
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9906.97 , 972188 , 459620
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8095.83 , 1044140 , 468124
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2723.77 , 1188788 , 769036
ocaml-interp , 61 , 2 , 0 , 7 , 87.1% , 3851.66 , 888988 , 440164
opal , 59 , 0 , 1 , 10 , 84.3% , 4756.63 , 1124004 , 679200
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14290.8 , 1299804 , 725468
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12332.8 , 705320 , 129864
scala , 50 , 6 , 0 , 14 , 71.4% , 7181.93 , 1340108 , 764560
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4978.07 , 1182296 , 725080
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5658.08 , 705320 , 128472
stratego , 49 , 0 , 0 , 21 , 70.0% , 9040.09 , 705320 , 128840
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8023.6 , 1309880 , 734412
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5916.73 , 1390488 , 814652
