tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 54 , 10 , 0 , 6 , 77.1% , 2607.96 , 457040 , 311496
haskell , 70 , 0 , 0 , 0 , 100% , 1853.57 , 475104 , 330884
lnt , 62 , 8 , 0 , 0 , 88.6% , 1139.38 , 274680 , 122456
lotos , 62 , 8 , 0 , 0 , 88.6% , 976.29 , 274680 , 121812
maude , 64 , 2 , 1 , 3 , 91.4% , 2105.09 , 249928 , 100392
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9542.98 , 418844 , 267940
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8154.81 , 432172 , 280532
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2764.67 , 477008 , 332656
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3939.31 , 383712 , 237576
opal , 57 , 1 , 2 , 10 , 81.4% , 4759.34 , 449076 , 302872
rascal-compil , 35 , 4 , 0 , 31 , 50.0% , 14536.7 , 506196 , 354108
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12358.3 , 274680 , 122208
scala , 49 , 11 , 0 , 10 , 70.0% , 5869.06 , 521892 , 370008
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4645.77 , 470600 , 323960
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5675.67 , 274680 , 122364
stratego , 48 , 3 , 0 , 19 , 68.6% , 8264.56 , 274680 , 122460
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7613.61 , 510120 , 358680
tom-b , 56 , 7 , 0 , 7 , 80.0% , 5015.6 , 525816 , 373928
