tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 37 , 6 , 3 , 11 , 64.9% , 4064.72 , 934724 , 608852
haskell , 55 , 0 , 0 , 2 , 96.5% , 1126.25 , 956792 , 622592
lnt , 49 , 8 , 0 , 0 , 86.0% , 2045.75 , 574332 , 105352
lotos , 49 , 8 , 0 , 0 , 86.0% , 2033.95 , 574332 , 104092
maude , 50 , 4 , 0 , 3 , 87.7% , 1924.54 , 442420 , 66084
mcrl2-default , 37 , 0 , 12 , 8 , 64.9% , 4475.85 , 776912 , 396432
mcrl2-jittyc , 43 , 0 , 6 , 8 , 75.4% , 4310.98 , 884840 , 413952
ocaml , 42 , 2 , 0 , 13 , 73.7% , 5155.79 , 812888 , 452780
opal , 52 , 1 , 4 , 0 , 91.2% , 901.34 , 964704 , 617408
rascal-compil , 34 , 0 , 0 , 23 , 59.6% , 10961.8 , 1148664 , 678852
rascal-interp , 31 , 0 , 0 , 26 , 54.4% , 9700.48 , 574332 , 104336
scala , 42 , 1 , 0 , 14 , 73.7% , 6951.08 , 1148664 , 679200
sml-mlton , 41 , 6 , 0 , 10 , 71.9% , 4546.12 , 962292 , 581448
sml-smlnj , 40 , 6 , 0 , 11 , 70.2% , 4386.35 , 574332 , 104640
tom , 43 , 0 , 0 , 14 , 75.4% , 6521.09 , 1138588 , 669108
