tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 59 , 0 , 8 , 2 , 85.5% , 805.99 , 420632 , 280616
haskell , 69 , 0 , 0 , 0 , 100% , 1864.7 , 471064 , 327952
lnt , 61 , 8 , 0 , 0 , 88.4% , 1135.99 , 270756 , 120688
lotos , 61 , 8 , 0 , 0 , 88.4% , 980.51 , 270756 , 121060
maude , 63 , 2 , 1 , 3 , 91.3% , 2107.3 , 255524 , 107072
mcrl2-default , 43 , 0 , 6 , 20 , 62.3% , 9556.6 , 409092 , 261252
mcrl2-jittyc , 47 , 0 , 4 , 18 , 68.1% , 8130.13 , 422420 , 271840
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4220.58 , 442504 , 298280
opal , 57 , 1 , 2 , 9 , 82.6% , 4367.81 , 447056 , 302980
rascal-compil , 36 , 5 , 0 , 28 , 52.2% , 13604.1 , 502272 , 352548
rascal-interp , 35 , 3 , 0 , 31 , 50.7% , 12177.7 , 270756 , 120048
scala , 46 , 13 , 0 , 10 , 66.7% , 5748.35 , 506196 , 356384
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4634.16 , 466560 , 321936
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5704.35 , 270756 , 119836
stratego , 31 , 22 , 0 , 16 , 44.9% , 6951.25 , 270756 , 121564
tom , 51 , 3 , 0 , 15 , 73.9% , 7565.18 , 502272 , 352512
