tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 31 , 31 , 6 , 2 , 44.3% , 14833.9 , 274680 , 122272
cafeobj-b , 38 , 17 , 7 , 8 , 54.3% , 12304.3 , 274680 , 123604
clean , 30 , 30 , 8 , 2 , 42.9% , 806.07 , 428480 , 286240
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 2621.97 , 457040 , 311720
haskell , 70 , 0 , 0 , 0 , 100% , 1856.81 , 480816 , 336328
lnt , 62 , 8 , 0 , 0 , 88.6% , 1144.46 , 274680 , 123708
lotos , 62 , 8 , 0 , 0 , 88.6% , 990.41 , 274680 , 123532
maude , 70 , 0 , 0 , 0 , 100% , 26 , 251832 , 102404
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9550.72 , 416940 , 267936
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8144.27 , 434076 , 282400
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2773.07 , 477008 , 333500
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3935.08 , 389424 , 243924
opal , 57 , 1 , 2 , 10 , 81.4% , 4749.26 , 449076 , 303268
rascal-compil , 35 , 5 , 0 , 30 , 50.0% , 14398.6 , 506196 , 353284
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12425.5 , 274680 , 123196
scala , 49 , 10 , 0 , 11 , 70.0% , 5924.74 , 521892 , 369776
sml-mlton , 57 , 5 , 0 , 8 , 81.4% , 4669.48 , 472504 , 326488
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5650.05 , 274680 , 122720
stratego , 48 , 3 , 0 , 19 , 68.6% , 8256.2 , 274680 , 123644
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7612.09 , 510120 , 358548
tom-b , 57 , 6 , 0 , 7 , 81.4% , 5247.02 , 529740 , 378100
