tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 54 , 10 , 0 , 6 , 77.1% , 2697 , 1132164 , 694852
haskell , 68 , 0 , 0 , 2 , 97.1% , 2096.58 , 1176796 , 764980
lnt , 63 , 7 , 0 , 0 , 90.0% , 3002.99 , 705320 , 125908
lotos , 63 , 7 , 0 , 0 , 90.0% , 2865.34 , 705320 , 124896
maude , 67 , 0 , 0 , 3 , 95.7% , 2125.29 , 579404 , 90184
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9901.36 , 972188 , 457088
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8076.93 , 1044140 , 465104
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2705.51 , 1176796 , 764412
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3880.89 , 888988 , 439124
opal , 59 , 0 , 1 , 10 , 84.3% , 4801.28 , 1124004 , 678088
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14259.9 , 1299804 , 721272
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12338.9 , 705320 , 125416
scala , 51 , 7 , 0 , 12 , 72.9% , 6966.49 , 1340108 , 761168
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4956.19 , 1176300 , 721344
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5662.95 , 705320 , 126340
stratego , 49 , 0 , 0 , 21 , 70.0% , 9074.05 , 705320 , 126976
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8121.14 , 1309880 , 730212
tom-b , 61 , 1 , 0 , 8 , 87.1% , 5985.79 , 1400564 , 822124
