model , cafeobj-a , cafeobj-b , clean , clean-hack , haskell , lnt , lotos , maude , mcrl2-jitty , mcrl2-jittyc , ocaml-compil , ocaml-interp , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom-a , tom-b , 
add8 ,  ,  , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO , TO 
mergesort100 , FL , FL , TO , KL ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
mergesort1000 , TO , TO , TO , KL ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
merge ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL , FL ,  ,  ,  
missionaries2 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL , FL ,  ,  ,  
missionaries3 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL , FL ,  ,  ,  
mul8 ,  ,  , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO ,  ,  , TO ,  , TO , TO ,  
mul16 , FL , FL , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO ,  
mul32 , FL , FL , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO ,  
natlist ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , FL ,  , FL ,  ,  ,  , FL , FL 
omul8 ,  ,  , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO ,  ,  ,  ,  , TO , TO ,  
omul32 , FL , FL , FL , FL ,  ,  ,  ,  , TO , TO ,  ,  , TO , TO , TO , FL ,  , TO , TO , TO ,  
permutations6 , FL , FL ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
permutations7 , FL , FL , FL , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
quicksort10 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
quicksort100 , FL ,  , TO , KL ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
quicksort1000 , TO ,  , TO , KL ,  , FL , FL ,  , TO , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
revnat100 ,  ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
revnat1000 , FL , FL ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
revnat10000 , TO , TO , FL , KL ,  ,  ,  ,  , TO , TO ,  ,  , KL ,  , TO , TO ,  , TO , TO ,  ,  
sieve20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
sieve100 ,  , TO ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
sieve1000 , FL , TO ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
sieve2000 , TO , TO ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
sieve10000 , FL , TO , FL , KL ,  ,  ,  ,  , TO , TO ,  , TO ,  , TO , TO , TO ,  ,  , TO ,  ,  
tak18 , FL ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
tak36 , FL ,  ,  , KL ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
