tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 37 , 5 , 3 , 11 , 66.1% , 4064.03 , 930644 , 608344
haskell , 54 , 0 , 0 , 2 , 96.4% , 1117.75 , 942636 , 612740
lnt , 49 , 7 , 0 , 0 , 87.5% , 2069.83 , 564256 , 101900
lotos , 49 , 7 , 0 , 0 , 87.5% , 2063.68 , 564256 , 101264
maude , 49 , 4 , 0 , 3 , 87.5% , 1923.53 , 438340 , 66048
mcrl2-default , 36 , 0 , 12 , 8 , 64.3% , 4468.23 , 762756 , 390688
mcrl2-jittyc , 42 , 0 , 6 , 8 , 75.0% , 4285.82 , 870684 , 409100
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4785.39 , 786740 , 435084
opal , 52 , 0 , 4 , 0 , 92.9% , 827.83 , 954628 , 616264
rascal-compil , 33 , 0 , 0 , 23 , 58.9% , 10876.2 , 1128512 , 666928
rascal-interp , 30 , 0 , 0 , 26 , 53.6% , 9694.33 , 564256 , 103180
scala , 41 , 1 , 0 , 14 , 73.2% , 6861.38 , 1128512 , 667000
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4562.91 , 946220 , 578060
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4354.9 , 564256 , 101192
tom , 43 , 0 , 0 , 13 , 76.8% , 6215.84 , 1128512 , 666688
