tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 44 , 16 , 2 , 7 , 63.8% , 2739.41 , 1065960 , 662044
haskell , 62 , 5 , 0 , 2 , 89.9% , 1917.52 , 1124252 , 707732
lnt , 53 , 16 , 0 , 0 , 76.8% , 2197.95 , 695244 , 126088
lotos , 60 , 8 , 0 , 1 , 87.0% , 2918.61 , 695244 , 124260
maude , 61 , 5 , 0 , 3 , 88.4% , 2028.61 , 563332 , 87864
mcrl2-default , 38 , 0 , 13 , 18 , 55.1% , 7923.49 , 910064 , 430916
mcrl2-jittyc , 45 , 0 , 8 , 16 , 65.2% , 7035.65 , 1017992 , 449180
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4084.46 , 1000748 , 563396
opal , 56 , 0 , 4 , 9 , 81.2% , 4075.61 , 1107932 , 675344
rascal-compil , 39 , 1 , 0 , 29 , 56.5% , 13415.1 , 1299804 , 730752
rascal-interp , 38 , 1 , 0 , 30 , 55.1% , 11866.5 , 695244 , 127436
scala , 48 , 8 , 0 , 13 , 69.6% , 7264.61 , 1299804 , 730724
sml-mlton , 54 , 8 , 0 , 7 , 78.3% , 4982.44 , 1155900 , 690368
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5601.21 , 695244 , 127088
stratego , 37 , 15 , 0 , 17 , 53.6% , 7286.1 , 695244 , 126368
tom , 51 , 1 , 0 , 17 , 73.9% , 7986.16 , 1289728 , 722308
