tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 31 , 29 , 8 , 2 , 44.3% , 805.59 , 426576 , 284268
haskell , 70 , 0 , 0 , 0 , 100% , 1845.09 , 477008 , 332280
lnt , 62 , 8 , 0 , 0 , 88.6% , 1138.81 , 274680 , 122788
lotos , 62 , 8 , 0 , 0 , 88.6% , 973.47 , 274680 , 122396
maude , 64 , 2 , 1 , 3 , 91.4% , 2105.23 , 255640 , 106052
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9546.38 , 418844 , 268368
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8146.45 , 432172 , 279676
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4210.37 , 438928 , 293068
opal , 58 , 1 , 2 , 9 , 82.9% , 4402.37 , 453000 , 306972
rascal-compil , 36 , 3 , 0 , 31 , 51.4% , 14580.5 , 510120 , 356868
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12290.2 , 274680 , 122200
scala , 49 , 11 , 0 , 10 , 70.0% , 5858.85 , 521892 , 369864
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4668.97 , 470600 , 324508
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5664.68 , 274680 , 122128
stratego , 48 , 3 , 0 , 19 , 68.6% , 8231.89 , 274680 , 122292
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7594.26 , 510120 , 357176
tom-b , 59 , 4 , 0 , 7 , 84.3% , 5243.69 , 537588 , 385768
