tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 54 , 10 , 0 , 6 , 77.1% , 2698.11 , 1132164 , 694624
haskell , 68 , 0 , 0 , 2 , 97.1% , 2097.03 , 1176796 , 764520
lnt , 63 , 7 , 0 , 0 , 90.0% , 2974.98 , 705320 , 127420
lotos , 63 , 7 , 0 , 0 , 90.0% , 2829.41 , 705320 , 126672
maude , 67 , 0 , 0 , 3 , 95.7% , 2123.78 , 579404 , 91072
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9912.78 , 972188 , 460020
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8073.03 , 1050136 , 473568
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2716.42 , 1182792 , 767348
ocaml-interp , 61 , 2 , 0 , 7 , 87.1% , 3853.98 , 888988 , 439444
opal , 59 , 0 , 1 , 10 , 84.3% , 4813.15 , 1118008 , 677140
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14336 , 1299804 , 718704
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12286.8 , 705320 , 125204
scala , 50 , 7 , 0 , 13 , 71.4% , 7065.38 , 1340108 , 759688
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5017.09 , 1176300 , 720448
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5647.24 , 705320 , 125256
stratego , 49 , 0 , 0 , 21 , 70.0% , 9084.97 , 705320 , 124744
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8035.82 , 1309880 , 729896
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5966.66 , 1390488 , 809760
