tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 38 , 12 , 0 , 18 , 55.9% , 44552.5 , 267104 , 119752
cafeobj-b , 43 , 17 , 0 , 8 , 63.2% , 24789.4 , 267104 , 119212
clean , 30 , 30 , 8 , 2 , 42.9% , 3685.34 , 429008 , 286808
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 11263.1 , 457568 , 312392
haskell , 70 , 0 , 0 , 0 , 100% , 1865.78 , 477568 , 333528
lnt , 62 , 8 , 0 , 0 , 88.6% , 1155.77 , 274960 , 123008
lotos , 62 , 8 , 0 , 0 , 88.6% , 1002.8 , 274960 , 123184
maude , 67 , 2 , 1 , 0 , 95.7% , 3437.27 , 261632 , 110340
mcrl2-jitty , 46 , 1 , 6 , 17 , 65.7% , 35237.4 , 415560 , 266024
mcrl2-jittyc , 51 , 1 , 4 , 14 , 72.9% , 29497.1 , 432696 , 279888
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 11412.4 , 477568 , 333636
ocaml-interp , 62 , 2 , 0 , 6 , 88.6% , 12958.2 , 391888 , 246580
opal , 58 , 5 , 2 , 5 , 82.9% , 15963.5 , 455424 , 309584
rascal-compil , 46 , 7 , 0 , 17 , 65.7% , 44919.4 , 506712 , 355248
rascal-interp , 46 , 3 , 0 , 21 , 65.7% , 46900.5 , 274960 , 123032
scala , 52 , 11 , 0 , 7 , 74.3% , 16880 , 522424 , 370264
sml-mlton , 59 , 5 , 0 , 6 , 84.3% , 13498.1 , 475064 , 328912
sml-smlnj , 53 , 5 , 0 , 12 , 75.7% , 23365.3 , 274960 , 122312
stratego , 50 , 4 , 0 , 16 , 71.4% , 33927 , 274960 , 123176
tom-a , 52 , 3 , 0 , 15 , 74.3% , 29198.9 , 510640 , 357660
tom-b , 59 , 4 , 0 , 7 , 84.3% , 15481.3 , 538136 , 385652
unexpected divergence for cafeobj-a on total: 68 vs 70
unexpected divergence for cafeobj-b on total: 68 vs 70
