tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 60 , 0 , 8 , 2 , 85.7% , 805.26 , 426576 , 284244
haskell , 70 , 0 , 0 , 0 , 100% , 1852.86 , 477008 , 333676
lnt , 62 , 8 , 0 , 0 , 88.6% , 1138.6 , 274680 , 122424
lotos , 62 , 8 , 0 , 0 , 88.6% , 982.01 , 274680 , 120532
maude , 64 , 2 , 1 , 3 , 91.4% , 2101.42 , 248024 , 98700
mcrl2-default , 44 , 0 , 6 , 20 , 62.9% , 9549.7 , 409324 , 259660
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8141.24 , 432172 , 279748
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4211.7 , 440832 , 295128
opal , 58 , 1 , 2 , 9 , 82.9% , 4390.28 , 453000 , 306524
rascal-compil , 36 , 4 , 0 , 30 , 51.4% , 14492.1 , 510120 , 357404
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12223.7 , 274680 , 122564
scala , 49 , 11 , 0 , 10 , 70.0% , 5693.09 , 521892 , 368996
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4654.5 , 468696 , 322988
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5707.78 , 274680 , 121984
stratego , 48 , 3 , 0 , 19 , 68.6% , 8251.77 , 274680 , 121836
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7587.38 , 510120 , 357584
tom-b , 54 , 9 , 0 , 7 , 77.1% , 4868.46 , 517968 , 365420
