tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 56 , 0 , 0 , 0 , 100% , 907.82 , 380464 , 265052
lnt , 49 , 7 , 0 , 0 , 87.5% , 487.69 , 219744 , 98656
lotos , 49 , 7 , 0 , 0 , 87.5% , 466.81 , 219744 , 98316
maude , 49 , 3 , 1 , 3 , 87.5% , 1849.07 , 193088 , 74544
mcrl2 , 40 , 0 , 8 , 8 , 71.4% , 5059.14 , 346192 , 229044
mcrl2-jittyc , 39 , 0 , 8 , 9 , 69.6% , 4504.07 , 372848 , 251608
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4877.5 , 342384 , 226108
opal , 53 , 0 , 3 , 0 , 94.6% , 884.22 , 384272 , 268840
rascal , 29 , 1 , 0 , 26 , 51.8% , 9650.71 , 219744 , 98600
scala , 40 , 4 , 0 , 12 , 71.4% , 5666.07 , 439488 , 317336
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4427.76 , 379884 , 262240
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4431.07 , 219744 , 98248
tom , 44 , 1 , 0 , 11 , 78.6% , 5692.23 , 439488 , 317512
