tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 40 , 20 , 3 , 7 , 57.1% , 2628.4 , 1060212 , 673888
haskell , 68 , 0 , 0 , 2 , 97.1% , 2090.36 , 1176796 , 765012
lnt , 63 , 7 , 0 , 0 , 90.0% , 3033.18 , 705320 , 128736
lotos , 63 , 7 , 0 , 0 , 90.0% , 2906.13 , 705320 , 127160
maude , 67 , 0 , 0 , 3 , 95.7% , 2123.75 , 573408 , 88124
mcrl2-default , 46 , 0 , 2 , 22 , 65.7% , 9882.78 , 960196 , 450068
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8087.52 , 1038144 , 459300
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4110.76 , 1020900 , 574836
opal , 59 , 0 , 1 , 10 , 84.3% , 4553.01 , 1124004 , 678260
rascal-compil , 38 , 1 , 0 , 31 , 54.3% , 14227.1 , 1309880 , 734028
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12235.9 , 705320 , 128624
scala , 51 , 7 , 0 , 12 , 72.9% , 6973.85 , 1340108 , 762736
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4995.28 , 1176300 , 722820
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5630.47 , 705320 , 127852
stratego , 0 , 70 , 0 , 0 , 0.0% , 7 , 285600 , 5508
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8011.7 , 1309880 , 733368
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5951.65 , 1390488 , 813600
