tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 59 , 0 , 8 , 2 , 85.5% , 804.84 , 420632 , 280284
haskell , 69 , 0 , 0 , 0 , 100% , 1852.66 , 472968 , 330672
lnt , 61 , 8 , 0 , 0 , 88.4% , 1138.35 , 270756 , 121352
lotos , 61 , 8 , 0 , 0 , 88.4% , 980.1 , 270756 , 120852
maude , 63 , 2 , 1 , 3 , 91.3% , 2100.66 , 246004 , 98348
mcrl2-default , 43 , 0 , 6 , 20 , 62.3% , 9545.95 , 403380 , 255684
mcrl2-jittyc , 47 , 0 , 4 , 18 , 68.1% , 8132.92 , 422420 , 271984
ocaml , 59 , 2 , 0 , 8 , 85.5% , 4214.5 , 431080 , 287124
opal , 57 , 1 , 2 , 9 , 82.6% , 4393.15 , 447056 , 302912
rascal-compil , 36 , 2 , 0 , 31 , 52.2% , 14426 , 506196 , 355544
rascal-interp , 36 , 2 , 0 , 31 , 52.2% , 12329.7 , 270756 , 120940
scala , 49 , 9 , 0 , 11 , 71.0% , 5905.52 , 517968 , 366856
sml-mlton , 57 , 5 , 0 , 7 , 82.6% , 4615.54 , 464656 , 319768
sml-smlnj , 51 , 5 , 0 , 13 , 73.9% , 5693.51 , 270756 , 120428
stratego , 47 , 3 , 0 , 19 , 68.1% , 8231.89 , 270756 , 121412
tom-a , 52 , 2 , 0 , 15 , 75.4% , 7568.06 , 506196 , 355748
tom-b , 55 , 7 , 0 , 7 , 79.7% , 5032.29 , 517968 , 366992
