tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 46 , 1 , 0 , 10 , 80.7% , 3988.12 , 382484 , 265176
haskell , 57 , 0 , 0 , 0 , 100% , 931.15 , 386408 , 269152
lnt , 49 , 8 , 0 , 0 , 86.0% , 491.93 , 223668 , 99532
lotos , 49 , 8 , 0 , 0 , 86.0% , 471.35 , 223668 , 99660
maude , 50 , 3 , 1 , 3 , 87.7% , 1849.85 , 216052 , 93604
mcrl2-default , 41 , 0 , 8 , 8 , 71.9% , 5059.31 , 359752 , 239616
mcrl2-jittyc , 43 , 0 , 5 , 9 , 75.4% , 4535.56 , 384504 , 260520
ocaml , 43 , 2 , 0 , 12 , 75.4% , 5243.11 , 357848 , 239228
opal , 53 , 1 , 3 , 0 , 93.0% , 974.62 , 390100 , 272484
rascal-compil , 33 , 1 , 0 , 23 , 57.9% , 10926 , 447336 , 323432
rascal-interp , 30 , 1 , 0 , 26 , 52.6% , 9678.99 , 223668 , 99356
scala , 41 , 4 , 0 , 12 , 71.9% , 5658.3 , 447336 , 323964
sml-mlton , 41 , 6 , 0 , 10 , 71.9% , 4406.85 , 383808 , 264844
sml-smlnj , 40 , 6 , 0 , 11 , 70.2% , 4412.12 , 223668 , 99436
tom , 44 , 1 , 0 , 12 , 77.2% , 6110.76 , 443412 , 318972
