tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 39 , 7 , 3 , 11 , 65.0% , 4065.51 , 981272 , 647792
haskell , 58 , 0 , 0 , 2 , 96.7% , 1133.63 , 1011252 , 656580
lnt , 51 , 9 , 0 , 0 , 85.0% , 2037.17 , 604560 , 108864
lotos , 51 , 9 , 0 , 0 , 85.0% , 2041.3 , 604560 , 108964
maude , 51 , 6 , 0 , 3 , 85.0% , 1931.01 , 478644 , 72872
mcrl2-default , 38 , 0 , 14 , 8 , 63.3% , 4450.05 , 819380 , 418020
mcrl2-jittyc , 44 , 0 , 8 , 8 , 73.3% , 4341.12 , 927308 , 432500
ocaml , 45 , 4 , 0 , 11 , 75.0% , 4787.65 , 827292 , 447108
opal , 54 , 1 , 5 , 0 , 90.0% , 902.08 , 1019164 , 652572
rascal-compil , 37 , 0 , 0 , 23 , 61.7% , 11094.5 , 1209120 , 714224
rascal-interp , 34 , 0 , 0 , 26 , 56.7% , 9910.4 , 604560 , 109928
scala , 43 , 1 , 0 , 16 , 71.7% , 7659.24 , 1209120 , 714868
sml-mlton , 44 , 6 , 0 , 10 , 73.3% , 4597.42 , 1010756 , 613196
sml-smlnj , 43 , 6 , 0 , 11 , 71.7% , 4433.59 , 604560 , 110200
stratego , 35 , 16 , 0 , 9 , 58.3% , 4374.87 , 604560 , 110176
tom , 46 , 1 , 0 , 13 , 76.7% , 6569.39 , 1199044 , 704672
