tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 40 , 20 , 3 , 7 , 57.1% , 2628.57 , 1060212 , 674024
haskell , 68 , 0 , 0 , 2 , 97.1% , 2101.51 , 1176796 , 765072
lnt , 63 , 7 , 0 , 0 , 90.0% , 2994.38 , 705320 , 127632
lotos , 63 , 7 , 0 , 0 , 90.0% , 2849.08 , 705320 , 127340
maude , 67 , 0 , 0 , 3 , 95.7% , 2124.64 , 567412 , 87836
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9910.01 , 972188 , 459644
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8083.18 , 1050136 , 474136
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4112.79 , 1032892 , 583092
opal , 59 , 0 , 1 , 10 , 84.3% , 4809.01 , 1124004 , 677996
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14280.6 , 1299804 , 721240
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12326.4 , 705320 , 127388
scala , 50 , 7 , 0 , 13 , 71.4% , 6996.1 , 1340108 , 761632
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5060.45 , 1176300 , 721324
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5647.12 , 705320 , 126856
stratego , 49 , 0 , 0 , 21 , 70.0% , 9054.29 , 705320 , 126236
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8020.63 , 1309880 , 731652
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5926.86 , 1390488 , 812156
