tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 37 , 5 , 3 , 11 , 66.1% , 4063.82 , 930644 , 608328
haskell , 54 , 0 , 0 , 2 , 96.4% , 1118.32 , 942636 , 613120
lnt , 49 , 7 , 0 , 0 , 87.5% , 2040.64 , 564256 , 102320
lotos , 49 , 7 , 0 , 0 , 87.5% , 2025.23 , 564256 , 102312
maude , 49 , 4 , 0 , 3 , 87.5% , 1923.75 , 438340 , 65420
mcrl2-innermost , 36 , 0 , 12 , 8 , 64.3% , 4469.49 , 762756 , 390640
mcrl2-jittyc , 39 , 0 , 9 , 8 , 69.6% , 4283.22 , 870684 , 409228
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4787.35 , 780744 , 429204
opal , 52 , 0 , 4 , 0 , 92.9% , 827.38 , 954628 , 615144
rascal-compil , 33 , 0 , 0 , 23 , 58.9% , 10887.7 , 1128512 , 665264
rascal-interp , 30 , 0 , 0 , 26 , 53.6% , 9687.49 , 564256 , 100684
scala , 41 , 1 , 0 , 14 , 73.2% , 6880.91 , 1128512 , 665288
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4533.56 , 952216 , 578396
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4369.83 , 564256 , 100580
tom , 43 , 0 , 0 , 13 , 76.8% , 6159.04 , 1128512 , 664768
