tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 54 , 10 , 0 , 6 , 77.1% , 2698.18 , 1132164 , 695852
haskell , 68 , 0 , 0 , 2 , 97.1% , 2096.23 , 1176796 , 764948
lnt , 63 , 7 , 0 , 0 , 90.0% , 3000.32 , 705320 , 126608
lotos , 63 , 7 , 0 , 0 , 90.0% , 2856.6 , 705320 , 126804
maude , 67 , 0 , 0 , 3 , 95.7% , 2126.61 , 579404 , 90320
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9895.05 , 972188 , 457952
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8079.79 , 1044140 , 465780
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2706.92 , 1182792 , 766336
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3882.27 , 888988 , 438748
opal , 59 , 0 , 1 , 10 , 84.3% , 4827.38 , 1118008 , 676304
rascal-compil , 37 , 2 , 0 , 31 , 52.9% , 14245.3 , 1299804 , 722320
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12299.8 , 705320 , 128112
scala , 50 , 7 , 0 , 13 , 71.4% , 6985.98 , 1340108 , 761728
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 4950.15 , 1170304 , 719772
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5642.77 , 705320 , 127872
stratego , 49 , 0 , 0 , 21 , 70.0% , 9042.28 , 705320 , 127952
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8099.65 , 1309880 , 733052
tom-b , 61 , 1 , 0 , 8 , 87.1% , 5922.67 , 1400564 , 823140
