tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 0 , 56 , 0 , 0 , 0.0% , 5.6 , 113120 , 2960
haskell , 56 , 0 , 0 , 0 , 100% , 927.76 , 380464 , 264540
lnt , 49 , 7 , 0 , 0 , 87.5% , 490.95 , 219744 , 98272
lotos , 49 , 7 , 0 , 0 , 87.5% , 461.96 , 219744 , 98356
maude , 49 , 3 , 1 , 3 , 87.5% , 1852.04 , 206416 , 86128
mcrl2-innermost , 40 , 0 , 8 , 8 , 71.4% , 5061.2 , 338576 , 220280
mcrl2-jittyc , 39 , 0 , 8 , 9 , 69.6% , 4502.38 , 378560 , 256592
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4886.76 , 340480 , 223908
opal , 53 , 0 , 3 , 0 , 94.6% , 933.26 , 384272 , 268932
rascal-compil , 32 , 1 , 0 , 23 , 57.1% , 10849.9 , 439488 , 316276
rascal-interp , 29 , 1 , 0 , 26 , 51.8% , 9657.15 , 219744 , 98184
scala , 40 , 4 , 0 , 12 , 71.4% , 5639.49 , 439488 , 318000
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4417.71 , 379884 , 262904
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4427.83 , 219744 , 97484
tom , 44 , 1 , 0 , 11 , 78.6% , 5674.46 , 439488 , 318184
