tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 37 , 6 , 27 , 0 , 52.9% , 58263.6 , 705320 , 129000
cafeobj-b , 42 , 11 , 17 , 0 , 60.0% , 38708.6 , 705320 , 129636
clean , 40 , 22 , 1 , 7 , 57.1% , 12710.5 , 1060212 , 674936
clean-hack , 54 , 10 , 0 , 6 , 77.1% , 11338.7 , 1132164 , 695488
haskell , 70 , 0 , 0 , 0 , 100% , 2528.33 , 1176796 , 765712
lnt , 63 , 7 , 0 , 0 , 90.0% , 3053.27 , 705320 , 129428
lotos , 63 , 7 , 0 , 0 , 90.0% , 2887.01 , 705320 , 129352
maude , 70 , 0 , 0 , 0 , 100% , 3282.48 , 579404 , 93016
mcrl2-jitty , 48 , 1 , 2 , 19 , 68.6% , 38368 , 972188 , 459124
mcrl2-jittyc , 55 , 1 , 0 , 14 , 78.6% , 29386.9 , 1050136 , 473356
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 11358.9 , 1182792 , 767704
ocaml-interp , 62 , 2 , 0 , 6 , 88.6% , 12837.1 , 888988 , 440276
opal , 59 , 0 , 1 , 10 , 84.3% , 19191.6 , 1118008 , 675824
rascal-compil , 46 , 2 , 0 , 22 , 65.7% , 50278.4 , 1299804 , 724044
rascal-interp , 53 , 0 , 0 , 17 , 75.7% , 42559.4 , 705320 , 128172
scala , 54 , 7 , 0 , 9 , 77.1% , 20765.8 , 1340108 , 763716
sml-mlton , 59 , 5 , 0 , 6 , 84.3% , 13901 , 1180380 , 731456
sml-smlnj , 53 , 5 , 0 , 12 , 75.7% , 23218.7 , 705320 , 130288
stratego , 53 , 1 , 0 , 16 , 75.7% , 34066 , 705320 , 129968
tom-a , 53 , 1 , 0 , 16 , 75.7% , 31155 , 1309880 , 733488
tom-b , 62 , 1 , 0 , 7 , 88.6% , 15994.8 , 1400564 , 824480
