tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 54 , 0 , 0 , 2 , 96.4% , 1108.71 , 942636 , 612620
lnt , 49 , 7 , 0 , 0 , 87.5% , 2034.79 , 564256 , 102432
lotos , 49 , 7 , 0 , 0 , 87.5% , 2011.24 , 564256 , 102204
maude , 49 , 4 , 0 , 3 , 87.5% , 1920.44 , 444336 , 67320
mcrl2 , 36 , 0 , 12 , 8 , 64.3% , 4495.18 , 756760 , 384224
mcrl2-jittyc , 39 , 0 , 9 , 8 , 69.6% , 4282.14 , 864688 , 403184
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4785.93 , 780744 , 428832
opal , 52 , 0 , 4 , 0 , 92.9% , 817.18 , 954628 , 616184
rascal , 29 , 3 , 0 , 24 , 51.8% , 9288.69 , 564256 , 102928
scala , 39 , 5 , 0 , 12 , 69.6% , 5737.58 , 1128512 , 665904
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4529.45 , 946220 , 578024
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4362.94 , 564256 , 102232
tom , 43 , 1 , 0 , 12 , 76.8% , 5834.81 , 1128512 , 666768
