tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 30 , 30 , 8 , 2 , 42.9% , 805.49 , 428480 , 286384
haskell , 70 , 0 , 0 , 0 , 100% , 1856.75 , 478912 , 334744
lnt , 62 , 8 , 0 , 0 , 88.6% , 1147.87 , 274680 , 122796
lotos , 62 , 8 , 0 , 0 , 88.6% , 990.7 , 274680 , 123140
maude , 64 , 2 , 1 , 3 , 91.4% , 2106.46 , 253736 , 104440
mcrl2-jitty , 44 , 0 , 6 , 20 , 62.9% , 9551.69 , 422652 , 273152
mcrl2-jittyc , 48 , 0 , 4 , 18 , 68.6% , 8147.33 , 434076 , 282416
ocaml-compil , 64 , 0 , 0 , 6 , 91.4% , 2770.83 , 480816 , 336184
ocaml-interp , 60 , 2 , 0 , 8 , 85.7% , 3947.48 , 391328 , 245712
opal , 57 , 1 , 2 , 10 , 81.4% , 4762.27 , 449076 , 303452
rascal-compil , 35 , 4 , 0 , 31 , 50.0% , 14501 , 506196 , 355000
rascal-interp , 37 , 2 , 0 , 31 , 52.9% , 12278 , 274680 , 123732
scala , 50 , 9 , 0 , 11 , 71.4% , 6308.62 , 521892 , 370208
sml-mlton , 57 , 5 , 0 , 8 , 81.4% , 4669.45 , 472504 , 326236
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5689.45 , 274680 , 122908
stratego , 48 , 3 , 0 , 19 , 68.6% , 8271.24 , 274680 , 124072
tom-a , 52 , 3 , 0 , 15 , 74.3% , 7577.4 , 510120 , 358184
tom-b , 55 , 8 , 0 , 7 , 78.6% , 4896.38 , 521892 , 370912
