tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 46 , 0 , 0 , 10 , 82.1% , 3982.29 , 380464 , 265164
haskell , 56 , 0 , 0 , 0 , 100% , 928.15 , 380464 , 265288
lnt , 49 , 7 , 0 , 0 , 87.5% , 487.74 , 219744 , 97460
lotos , 49 , 7 , 0 , 0 , 87.5% , 443.44 , 219744 , 98316
maude , 49 , 3 , 1 , 3 , 87.5% , 1854.63 , 202608 , 83100
mcrl2-innermost , 40 , 0 , 8 , 8 , 71.4% , 5052.9 , 346192 , 227556
mcrl2-jittyc , 39 , 0 , 8 , 9 , 69.6% , 4497.02 , 376656 , 255676
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4885.05 , 348096 , 231504
opal , 53 , 0 , 3 , 0 , 94.6% , 882.92 , 386176 , 270044
rascal-compil , 32 , 1 , 0 , 23 , 57.1% , 10870.3 , 439488 , 317748
rascal-interp , 29 , 1 , 0 , 26 , 51.8% , 9669.76 , 219744 , 97516
scala , 40 , 4 , 0 , 12 , 71.4% , 5633.79 , 439488 , 317664
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4421.98 , 379884 , 262572
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4432.6 , 219744 , 98240
tom , 44 , 1 , 0 , 11 , 78.6% , 5683 , 439488 , 317860
