model , clean , haskell , lnt , lotos , maude , mcrl2-default , mcrl2-jittyc , ocaml , opal , rascal-compil , rascal-interp , scala , sml-mlton , sml-smlnj , stratego , tom-a , tom-b , 
add8 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , FL , FL 
omul32 , KL ,  ,  ,  ,  , TO , TO ,  , TO , TO , TO , FL ,  , TO , TO , TO , FL 
permutations6 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
permutations7 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
quicksort10 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
quicksort100 , TO ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
quicksort1000 ,  ,  , FL , FL ,  , TO , TO , TO ,  , TO , TO , TO , TO , TO , TO , TO , TO 
revnat100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
revnat1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
revnat10000 ,  ,  ,  ,  ,  , TO , TO ,  , KL ,  , TO , TO ,  , TO , TO ,  ,  
sieve20 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
sieve100 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
sieve1000 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
sieve2000 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
sieve10000 ,  ,  ,  ,  , TO , TO , TO , TO ,  , TO , TO , TO ,  ,  , TO ,  ,  
tak18 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
tak36 ,  ,  ,  ,  ,  ,  ,  ,  ,  , TO , TO ,  ,  ,  ,  ,  ,  
