tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 40 , 20 , 3 , 7 , 57.1% , 2628.64 , 1060212 , 673452
haskell , 68 , 0 , 0 , 2 , 97.1% , 2090.82 , 1176796 , 765000
lnt , 63 , 7 , 0 , 0 , 90.0% , 2976.16 , 705320 , 127116
lotos , 63 , 7 , 0 , 0 , 90.0% , 2838.5 , 705320 , 127616
maude , 67 , 0 , 0 , 3 , 95.7% , 2124.88 , 579404 , 91504
mcrl2-jitty , 46 , 0 , 2 , 22 , 65.7% , 9938.31 , 960196 , 451132
mcrl2-jittyc , 53 , 0 , 0 , 17 , 75.7% , 8087.55 , 1050136 , 473996
ocaml , 60 , 2 , 0 , 8 , 85.7% , 4109.67 , 1014904 , 569996
opal , 59 , 0 , 1 , 10 , 84.3% , 4544.51 , 1118008 , 677004
rascal-compil , 38 , 1 , 0 , 31 , 54.3% , 14261.7 , 1309880 , 732260
rascal-interp , 40 , 0 , 0 , 30 , 57.1% , 12192.7 , 705320 , 126784
scala , 50 , 6 , 0 , 14 , 71.4% , 7192.52 , 1340108 , 760868
sml-mlton , 58 , 5 , 0 , 7 , 82.9% , 5031.4 , 1176300 , 721456
sml-smlnj , 52 , 5 , 0 , 13 , 74.3% , 5646.85 , 705320 , 127040
stratego , 49 , 0 , 0 , 21 , 70.0% , 9046.21 , 705320 , 125740
tom-a , 52 , 1 , 0 , 17 , 74.3% , 8010.52 , 1309880 , 730764
tom-b , 60 , 1 , 0 , 9 , 85.7% , 5974.11 , 1390488 , 810484
