tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 56 , 0 , 0 , 0 , 100% , 916.54 , 380464 , 264960
lnt , 49 , 7 , 0 , 0 , 87.5% , 490.56 , 219744 , 98540
lotos , 49 , 7 , 0 , 0 , 87.5% , 472.96 , 219744 , 97680
maude , 49 , 3 , 1 , 3 , 87.5% , 1853.75 , 208320 , 87832
mcrl2 , 40 , 0 , 8 , 8 , 71.4% , 5069.35 , 348096 , 230500
mcrl2-jittyc , 39 , 0 , 8 , 9 , 69.6% , 4504.17 , 374752 , 253080
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4871.39 , 338576 , 221804
opal , 53 , 0 , 3 , 0 , 94.6% , 885.72 , 386176 , 270276
rascal , 29 , 1 , 0 , 26 , 51.8% , 9655.78 , 219744 , 98020
scala , 41 , 3 , 0 , 12 , 73.2% , 5937.62 , 439488 , 318388
sml-mlton , 40 , 5 , 0 , 11 , 71.4% , 4448.68 , 379884 , 263320
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4430.06 , 219744 , 98168
tom , 44 , 1 , 0 , 11 , 78.6% , 5685.3 , 439488 , 317896
