tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 54 , 0 , 0 , 2 , 96.4% , 1108.52 , 942636 , 612384
lnt , 49 , 7 , 0 , 0 , 87.5% , 2041.68 , 564256 , 102228
lotos , 49 , 7 , 0 , 0 , 87.5% , 2033.58 , 564256 , 101368
maude , 49 , 4 , 0 , 3 , 87.5% , 1923.23 , 444336 , 66896
mcrl2 , 36 , 0 , 12 , 8 , 64.3% , 4470.21 , 756760 , 384212
mcrl2-jittyc , 39 , 0 , 9 , 8 , 69.6% , 4276.17 , 870684 , 408556
ocaml , 43 , 2 , 0 , 11 , 76.8% , 4784.8 , 780744 , 429260
opal , 52 , 0 , 4 , 0 , 92.9% , 822.16 , 954628 , 616504
rascal , 29 , 3 , 0 , 24 , 51.8% , 9093.49 , 564256 , 101536
scala , 39 , 5 , 0 , 12 , 69.6% , 5755.89 , 1128512 , 665844
sml-mlton , 41 , 5 , 0 , 10 , 73.2% , 4500.02 , 952216 , 579844
sml-smlnj , 40 , 5 , 0 , 11 , 71.4% , 4406.77 , 564256 , 101724
tom , 42 , 1 , 0 , 13 , 75.0% , 6542.52 , 1128512 , 666580
