natlist , exec , mcrl2-jittyc , 0 , 10.51 , 10076 , 1728
oddeven , comp , mcrl2 , 0 , 8.81 , 10076 , 1728
oddeven , exec , mcrl2 , 0 , 0.10 , 4080 , 80
oddeven , comp , mcrl2-jittyc , 0 , 9.51 , 10076 , 1756
oddeven , exec , mcrl2-jittyc , 0 , 11.11 , 10076 , 1788
order , comp , mcrl2 , 0 , 0.10 , 4080 , 80
order , exec , mcrl2 , 0 , 0.10 , 4080 , 80
order , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
order , exec , mcrl2-jittyc , 0 , 9.52 , 10076 , 1788
revelt , comp , mcrl2 , 0 , 0.10 , 4080 , 76
revelt , exec , mcrl2 , 0 , 0.10 , 4080 , 80
revelt , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
revelt , exec , mcrl2-jittyc , 0 , 9.91 , 10076 , 1720
searchinconditions , comp , mcrl2 , 0 , 0.10 , 4080 , 76
searchinconditions , exec , mcrl2 , 0 , 0.10 , 4080 , 76
searchinconditions , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
searchinconditions , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1796
soundnessofparallelengines , comp , mcrl2 , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , exec , mcrl2 , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1860
tautologyhard , comp , mcrl2 , 0 , 0.10 , 4080 , 76
tautologyhard , exec , mcrl2 , 0 , 0.10 , 4080 , 76
tautologyhard , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
tautologyhard , exec , mcrl2-jittyc , 0 , 10.91 , 10076 , 1788
tricky , comp , mcrl2 , 0 , 0.10 , 4080 , 80
tricky , exec , mcrl2 , 0 , 0.10 , 4080 , 76
tricky , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
tricky , exec , mcrl2-jittyc , 0 , 11.31 , 10076 , 1756
calls , comp , ocaml , 0 , 0.30 , 10076 , 1928
calls , exec , ocaml , 0 , 0.10 , 4080 , 76
check1 , comp , ocaml , 0 , 0.10 , 4080 , 76
check1 , exec , ocaml , 0 , 0.10 , 4080 , 80
closure , comp , ocaml , 0 , 0.60 , 10076 , 1788
closure , exec , ocaml , 0 , 0.30 , 10076 , 1872
confluence , comp , ocaml , 0 , 0.10 , 4080 , 76
confluence , exec , ocaml , 0 , 0.10 , 4080 , 76
empty , comp , ocaml , 0 , 0.10 , 4080 , 80
empty , exec , ocaml , 0 , 0.10 , 4080 , 80
garbagecollection , comp , ocaml , 0 , 0.10 , 4080 , 80
garbagecollection , exec , ocaml , 0 , 0.10 , 4080 , 80
natlist , comp , ocaml , 0 , 0.30 , 10076 , 1856
natlist , exec , ocaml , 0 , 0.10 , 4080 , 76
oddeven , comp , ocaml , 0 , 0.10 , 4080 , 76
oddeven , exec , ocaml , 0 , 0.20 , 10076 , 1856
order , comp , ocaml , 0 , 0.10 , 4080 , 76
order , exec , ocaml , 0 , 0.10 , 4080 , 76
revelt , comp , ocaml , 0 , 0.10 , 4080 , 80
revelt , exec , ocaml , 0 , 0.10 , 4080 , 76
searchinconditions , comp , ocaml , 0 , 0.10 , 4080 , 76
searchinconditions , exec , ocaml , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , ocaml , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , exec , ocaml , 0 , 0.10 , 4080 , 80
tautologyhard , comp , ocaml , 0 , 0.20 , 10076 , 1916
tautologyhard , exec , ocaml , 0 , 0.10 , 4080 , 80
tricky , comp , ocaml , 0 , 0.10 , 4080 , 80
tricky , exec , ocaml , 0 , 0.10 , 4080 , 76
calls , comp , opal , 0 , 2.80 , 10076 , 1872
calls , exec , opal , 0 , 0.10 , 4080 , 76
check1 , comp , opal , 0 , 0.70 , 10076 , 1928
check1 , exec , opal , 0 , 0.10 , 4080 , 76
closure , comp , opal , timeout , 120.05 , 10076 , 1928
confluence , comp , opal , 0 , 0.70 , 10076 , 1876
confluence , exec , opal , 0 , 0.10 , 4080 , 76
empty , comp , opal , 0 , 0.70 , 10076 , 1900
empty , exec , opal , 0 , 0.10 , 4080 , 76
garbagecollection , comp , opal , 0 , 1.10 , 10076 , 1788
garbagecollection , exec , opal , 0 , 0.10 , 4080 , 76
natlist , comp , opal , 0 , 22.52 , 10076 , 1876
natlist , exec , opal , 0 , 0.10 , 4080 , 76
oddeven , comp , opal , 0 , 0.90 , 10076 , 1928
oddeven , exec , opal , 0 , 0.10 , 4080 , 80
order , comp , opal , 0 , 0.70 , 10076 , 1904
order , exec , opal , 0 , 0.10 , 4080 , 76
revelt , comp , opal , 0 , 0.90 , 10076 , 1808
revelt , exec , opal , 0 , 0.10 , 4080 , 76
searchinconditions , comp , opal , 0 , 0.60 , 10076 , 1892
searchinconditions , exec , opal , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp , opal , 0 , 0.70 , 10076 , 1876
soundnessofparallelengines , exec , opal , 0 , 0.10 , 4080 , 76
tautologyhard , comp , opal , 0 , 1.10 , 10076 , 1728
tautologyhard , exec , opal , 0 , 0.10 , 4080 , 76
tricky , comp , opal , 0 , 1.20 , 10076 , 1728
tricky , exec , opal , 0 , 0.10 , 4080 , 76
calls , comp-exec , rascal , 0 , 4.21 , 10076 , 1788
check1 , comp-exec , rascal , 0 , 4.01 , 10076 , 1924
closure , comp-exec , rascal , 0 , 49.35 , 10076 , 1860
confluence , comp-exec , rascal , 0 , 4.01 , 10076 , 1892
empty , comp-exec , rascal , 0 , 4.31 , 10076 , 1876
garbagecollection , comp-exec , rascal , 0 , 4.31 , 10076 , 1856
