calls , comp , clean , 0 , 1.57 , 10076 , 1744
calls , exec , clean , 0 , 0.10 , 4080 , 76
check1 , comp , clean , 0 , 0.20 , 10076 , 1860
check1 , exec , clean , 0 , 0.10 , 4080 , 76
check2 , comp , clean , 0 , 0.20 , 10076 , 1868
check2 , exec , clean , 0 , 0.10 , 4080 , 76
closure , comp , clean , 0 , 0.40 , 10076 , 1744
closure , exec , clean , 0 , 0.10 , 4080 , 76
confluence , comp , clean , 0 , 0.20 , 10076 , 1780
confluence , exec , clean , 0 , 0.10 , 4080 , 80
empty , comp , clean , 0 , 0.20 , 10076 , 1912
empty , exec , clean , 0 , 0.10 , 4080 , 80
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1924
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 80
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1924
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 80
natlist , comp , clean , 0 , 0.30 , 10076 , 1784
natlist , exec , clean , 0 , 0.10 , 4080 , 80
oddeven , comp , clean , 0 , 0.20 , 10076 , 1932
oddeven , exec , clean , 0 , 0.10 , 4080 , 76
order , comp , clean , 0 , 0.20 , 10076 , 1904
order , exec , clean , 0 , 0.10 , 4080 , 80
revelt , comp , clean , 0 , 0.20 , 10076 , 1928
revelt , exec , clean , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1780
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1864
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean , 0 , 0.20 , 10076 , 1812
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 76
tricky , comp , clean , 0 , 0.20 , 10076 , 1780
tricky , exec , clean , 0 , 0.10 , 4080 , 80
calls , comp , haskell , 0 , 10.71 , 10076 , 1864
calls , exec , haskell , 0 , 0.10 , 4080 , 76
check1 , comp , haskell , 0 , 1.40 , 10076 , 1784
check1 , exec , haskell , 0 , 0.10 , 4080 , 76
check2 , comp , haskell , 0 , 1.30 , 10076 , 1864
check2 , exec , haskell , 0 , 0.10 , 4080 , 76
closure , comp , haskell , 0 , 3.71 , 10076 , 1808
closure , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.40 , 10076 , 1928
confluence , exec , haskell , 0 , 0.10 , 4080 , 76
empty , comp , haskell , 0 , 1.40 , 10076 , 1744
empty , exec , haskell , 0 , 0.10 , 4080 , 80
garbagecollection , comp , haskell , 0 , 1.50 , 10076 , 1932
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 76
hanoi4 , comp , haskell , 0 , 2.00 , 10076 , 1860
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 76
natlist , comp , haskell , 0 , 14.01 , 10076 , 1908
natlist , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 1.60 , 10076 , 1924
oddeven , exec , haskell , 0 , 0.10 , 4080 , 76
order , comp , haskell , 0 , 1.40 , 10076 , 1928
order , exec , haskell , 0 , 0.10 , 4080 , 76
revelt , comp , haskell , 0 , 1.60 , 10076 , 1856
revelt , exec , haskell , 0 , 0.10 , 4080 , 80
searchinconditions , comp , haskell , 0 , 1.40 , 10076 , 1908
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , haskell , 0 , 1.40 , 10076 , 1916
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 80
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1912
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 76
tricky , comp , haskell , 0 , 1.60 , 10076 , 1744
tricky , exec , haskell , 0 , 0.10 , 4080 , 80
calls , comp-exec , lnt , 0 , 2.50 , 10076 , 1748
check1 , comp-exec , lnt , 0 , 1.30 , 10076 , 1868
check2 , comp-exec , lnt , 0 , 1.30 , 10076 , 1924
closure , comp-exec , lnt , 0 , 2.70 , 10076 , 1904
confluence , comp-exec , lnt , 0 , 1.30 , 10076 , 1868
empty , comp-exec , lnt , 0 , 1.30 , 10076 , 1912
garbagecollection , comp-exec , lnt , 0 , 1.40 , 10076 , 1748
hanoi4 , comp-exec , lnt , 0 , 1.40 , 10076 , 1868
natlist , comp-exec , lnt , 0 , 1.60 , 10076 , 1868
oddeven , comp-exec , lnt , 0 , 1.40 , 10076 , 1924
order , comp-exec , lnt , 0 , 1.60 , 10076 , 1864
revelt , comp-exec , lnt , 0 , 1.30 , 10076 , 1932
searchinconditions , comp-exec , lnt , 0 , 1.30 , 10076 , 1928
soundnessofparallelengines , comp-exec , lnt , 0 , 1.40 , 10076 , 1864
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1928
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1928
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1868
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1856
check2 , comp-exec , lotos , 0 , 0.70 , 10076 , 1908
closure , comp-exec , lotos , 0 , 1.90 , 10076 , 1744
confluence , comp-exec , lotos , 0 , 0.70 , 10076 , 1900
empty , comp-exec , lotos , 0 , 0.70 , 10076 , 1740
garbagecollection , comp-exec , lotos , 0 , 0.70 , 10076 , 1808
hanoi4 , comp-exec , lotos , 0 , 0.70 , 10076 , 1924
natlist , comp-exec , lotos , 0 , 0.90 , 10076 , 1904
oddeven , comp-exec , lotos , 0 , 0.70 , 10076 , 1748
order , comp-exec , lotos , 0 , 0.70 , 10076 , 1900
revelt , comp-exec , lotos , 0 , 0.70 , 10076 , 1924
searchinconditions , comp-exec , lotos , 0 , 0.70 , 10076 , 1908
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 10076 , 1860
tautologyhard , comp-exec , lotos , 0 , 0.90 , 10076 , 1908
tricky , comp-exec , lotos , 0 , 0.70 , 10076 , 1780
calls , comp-exec , maude , 0 , 0.30 , 10076 , 1912
check1 , comp-exec , maude , 0 , 0.10 , 4080 , 80
check2 , comp-exec , maude , 0 , 0.10 , 4080 , 76
