calls , comp , clean , 0 , 1.20 , 10076 , 1884
calls , exec , clean , 0 , 0.10 , 4080 , 76
check1 , comp , clean , 0 , 0.20 , 10076 , 1900
check1 , exec , clean , 0 , 0.10 , 4080 , 80
check2 , comp , clean , 0 , 0.40 , 10076 , 1796
check2 , exec , clean , 0 , 0.10 , 4080 , 80
closure , comp , clean , 0 , 0.40 , 10076 , 1796
closure , exec , clean , 0 , 0.10 , 4080 , 80
confluence , comp , clean , 0 , 0.20 , 10076 , 1844
confluence , exec , clean , 0 , 0.10 , 4080 , 80
empty , comp , clean , 0 , 0.20 , 10076 , 1796
empty , exec , clean , 0 , 0.10 , 4080 , 76
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1884
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 80
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1844
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 80
natlist , comp , clean , 0 , 0.30 , 10076 , 1892
natlist , exec , clean , 0 , 0.10 , 4080 , 80
oddeven , comp , clean , 0 , 0.30 , 10076 , 1732
oddeven , exec , clean , 0 , 0.10 , 4080 , 76
order , comp , clean , 0 , 0.20 , 10076 , 1844
order , exec , clean , 0 , 0.10 , 4080 , 76
revelt , comp , clean , 0 , 0.20 , 10076 , 1884
revelt , exec , clean , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1724
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1888
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean , 0 , 0.20 , 10076 , 1892
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 80
tricky , comp , clean , 0 , 0.20 , 10076 , 1728
tricky , exec , clean , 0 , 0.10 , 4080 , 76
calls , comp , haskell , 0 , 11.01 , 10076 , 1732
calls , exec , haskell , 0 , 0.10 , 4080 , 76
check1 , comp , haskell , 0 , 1.40 , 10076 , 1792
check1 , exec , haskell , 0 , 0.10 , 4080 , 76
check2 , comp , haskell , 0 , 1.40 , 10076 , 1904
check2 , exec , haskell , 0 , 0.10 , 4080 , 76
closure , comp , haskell , 0 , 4.11 , 10076 , 1880
closure , exec , haskell , 0 , 0.10 , 4080 , 76
confluence , comp , haskell , 0 , 2.90 , 10076 , 1900
confluence , exec , haskell , 0 , 0.10 , 4080 , 80
empty , comp , haskell , 0 , 1.40 , 10076 , 1796
empty , exec , haskell , 0 , 0.10 , 4080 , 76
garbagecollection , comp , haskell , 0 , 1.60 , 10076 , 1724
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 80
hanoi4 , comp , haskell , 0 , 1.80 , 10076 , 1888
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 76
natlist , comp , haskell , 0 , 2.20 , 10076 , 1904
natlist , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 2.10 , 10076 , 1732
oddeven , exec , haskell , 0 , 0.20 , 10076 , 1904
order , comp , haskell , 0 , 1.40 , 10076 , 1796
order , exec , haskell , 0 , 0.10 , 4080 , 80
revelt , comp , haskell , 0 , 1.90 , 10076 , 1892
revelt , exec , haskell , 0 , 0.10 , 4080 , 76
searchinconditions , comp , haskell , 0 , 1.40 , 10076 , 1904
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , haskell , 0 , 1.40 , 10076 , 1880
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 80
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1772
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 80
tricky , comp , haskell , 0 , 1.60 , 10076 , 1732
tricky , exec , haskell , 0 , 0.10 , 4080 , 80
calls , comp-exec , lnt , 0 , 2.40 , 10076 , 1880
check1 , comp-exec , lnt , 0 , 1.60 , 10076 , 1848
check2 , comp-exec , lnt , 0 , 1.40 , 10076 , 1904
closure , comp-exec , lnt , 0 , 2.80 , 10076 , 1796
confluence , comp-exec , lnt , 0 , 1.40 , 10076 , 1732
empty , comp-exec , lnt , 0 , 1.40 , 10076 , 1840
garbagecollection , comp-exec , lnt , 0 , 1.50 , 10076 , 1888
hanoi4 , comp-exec , lnt , 0 , 1.90 , 10076 , 1900
natlist , comp-exec , lnt , 0 , 1.70 , 10076 , 1844
oddeven , comp-exec , lnt , 0 , 1.50 , 10076 , 1900
order , comp-exec , lnt , 0 , 1.40 , 10076 , 1776
revelt , comp-exec , lnt , 0 , 1.40 , 10076 , 1772
searchinconditions , comp-exec , lnt , 0 , 1.40 , 10076 , 1848
soundnessofparallelengines , comp-exec , lnt , 0 , 1.40 , 10076 , 1840
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1728
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1812
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1900
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1892
check2 , comp-exec , lotos , 0 , 0.70 , 10076 , 1884
closure , comp-exec , lotos , 0 , 1.90 , 10076 , 1888
confluence , comp-exec , lotos , 0 , 0.70 , 10076 , 1776
empty , comp-exec , lotos , 0 , 0.70 , 10076 , 1908
garbagecollection , comp-exec , lotos , 0 , 0.70 , 10076 , 1844
hanoi4 , comp-exec , lotos , 0 , 0.80 , 10076 , 1728
natlist , comp-exec , lotos , 0 , 0.90 , 10076 , 1880
oddeven , comp-exec , lotos , 0 , 0.70 , 10076 , 1888
order , comp-exec , lotos , 0 , 0.70 , 10076 , 1732
revelt , comp-exec , lotos , 0 , 0.70 , 10076 , 1844
searchinconditions , comp-exec , lotos , 0 , 0.80 , 10076 , 1844
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 10076 , 1724
tautologyhard , comp-exec , lotos , 0 , 0.80 , 10076 , 1796
tricky , comp-exec , lotos , 0 , 0.70 , 10076 , 1888
calls , comp-exec , maude , 0 , 0.30 , 10076 , 1844
check1 , comp-exec , maude , 0 , 0.10 , 4080 , 80
check2 , comp-exec , maude , 0 , 0.10 , 4080 , 76
closure , comp-exec , maude , 0 , 0.60 , 10076 , 1796
confluence , comp-exec , maude , 0 , 0.10 , 4080 , 80
empty , comp-exec , maude , 0 , 0.10 , 4080 , 80
garbagecollection , comp-exec , maude , 0 , 0.10 , 4080 , 76
hanoi4 , comp-exec , maude , 0 , 0.10 , 4080 , 76
natlist , comp-exec , maude , 0 , 0.50 , 10076 , 1904
oddeven , comp-exec , maude , 0 , 3.70 , 10076 , 1884
order , comp-exec , maude , 0 , 0.10 , 4080 , 80
revelt , comp-exec , maude , 0 , 0.10 , 4080 , 76
searchinconditions , comp-exec , maude , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 4080 , 76
tautologyhard , comp-exec , maude , 0 , 0.10 , 4080 , 80
tricky , comp-exec , maude , 0 , 0.10 , 4080 , 76
calls , comp , mcrl2-default , 0 , 0.90 , 10076 , 1720
calls , exec , mcrl2-default , 0 , 0.30 , 10076 , 1728
calls , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
calls , exec , mcrl2-jittyc , 0 , 13.62 , 10076 , 1796
check1 , comp , mcrl2-default , 0 , 0.30 , 10076 , 1840
check1 , exec , mcrl2-default , 0 , 0.10 , 4080 , 80
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
check1 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1904
check2 , comp , mcrl2-default , 0 , 0.10 , 4080 , 80
check2 , exec , mcrl2-default , 0 , 0.10 , 4080 , 80
check2 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
check2 , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1796
closure , comp , mcrl2-default , 0 , 0.50 , 10076 , 1848
closure , exec , mcrl2-default , 0 , 3.00 , 10076 , 1896
closure , comp , mcrl2-jittyc , 0 , 0.50 , 10076 , 1880
closure , exec , mcrl2-jittyc , 0 , 13.31 , 10076 , 1904
confluence , comp , mcrl2-default , 0 , 0.10 , 4080 , 80
confluence , exec , mcrl2-default , 0 , 0.10 , 4080 , 76
confluence , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
confluence , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1844
empty , comp , mcrl2-default , 0 , 0.10 , 4080 , 76
empty , exec , mcrl2-default , 0 , 0.10 , 4080 , 76
empty , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
empty , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1896
garbagecollection , comp , mcrl2-default , 0 , 0.10 , 4080 , 76
garbagecollection , exec , mcrl2-default , 0 , 0.10 , 4080 , 76
garbagecollection , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
garbagecollection , exec , mcrl2-jittyc , 0 , 10.91 , 10076 , 1796
hanoi4 , comp , mcrl2-default , 0 , 0.10 , 4080 , 76
hanoi4 , exec , mcrl2-default , 0 , 0.10 , 4080 , 76
hanoi4 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
hanoi4 , exec , mcrl2-jittyc , 0 , 12.11 , 10076 , 1880
natlist , comp , mcrl2-default , 0 , 0.30 , 10076 , 1796
natlist , exec , mcrl2-default , 0 , 0.10 , 4080 , 76
natlist , comp , mcrl2-jittyc , 0 , 0.30 , 10076 , 1848
natlist , exec , mcrl2-jittyc , 0 , 11.01 , 10076 , 1880
oddeven , comp , mcrl2-default , 0 , 0.20 , 10076 , 1796
oddeven , exec , mcrl2-default , 0 , 8.91 , 10076 , 1884
