calls , comp-exec , cafeobj-a , 0 , 0.60 , 3924 , 1792
check1 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1676
check2 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1736
confluence , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1780
empty , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1756
fibonacci05 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1736
garbagecollection , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1608
hanoi4 , comp-exec , cafeobj-a , 0 , 0.30 , 3924 , 1872
oddeven , comp-exec , cafeobj-a , 0 , 27.93 , 3924 , 1732
order , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1676
revelt , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1840
searchinconditions , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1780
soundnessofparallelengines , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1780
tautologyhard , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1796
tricky , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1744
calls , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1872
check1 , comp-exec , cafeobj-b , 0 , 0.20 , 3924 , 1788
check2 , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1740
confluence , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1836
empty , comp-exec , cafeobj-b , 0 , 0.20 , 3924 , 1676
fibonacci05 , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1792
garbagecollection , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1836
hanoi4 , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1744
oddeven , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1792
order , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1780
revelt , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1872
searchinconditions , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1840
soundnessofparallelengines , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1788
tautologyhard , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1732
tricky , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1740
calls , comp , clean , 0 , 0.30 , 3924 , 1840
calls , exec , clean , 0 , 0.10 , 2020 , 60
calls , comp , clean-hack , 0 , 0.20 , 3924 , 1612
calls , exec , clean-hack , 0 , 0.10 , 2020 , 56
check1 , comp , clean , 0 , 0.20 , 3924 , 1800
check1 , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean-hack , 0 , 0.20 , 3924 , 1840
check1 , exec , clean-hack , 0 , 0.10 , 2020 , 56
check2 , comp , clean , 0 , 0.20 , 3924 , 1872
check2 , exec , clean , 0 , 0.10 , 2020 , 60
check2 , comp , clean-hack , 0 , 0.20 , 3924 , 1760
check2 , exec , clean-hack , 0 , 0.10 , 2020 , 60
confluence , comp , clean , 0 , 0.20 , 3924 , 1792
confluence , exec , clean , 0 , 0.10 , 2020 , 60
confluence , comp , clean-hack , 0 , 0.20 , 3924 , 1840
confluence , exec , clean-hack , 0 , 0.10 , 2020 , 56
empty , comp , clean , 0 , 0.20 , 3924 , 1840
empty , exec , clean , 0 , 0.10 , 2020 , 56
empty , comp , clean-hack , 0 , 0.20 , 3924 , 1736
empty , exec , clean-hack , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1608
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , clean-hack , 0 , 0.20 , 3924 , 1736
fibonacci05 , exec , clean-hack , 0 , 0.10 , 2020 , 60
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1784
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 56
garbagecollection , comp , clean-hack , 0 , 0.20 , 3924 , 1760
garbagecollection , exec , clean-hack , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1736
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean-hack , 0 , 0.20 , 3924 , 1732
hanoi4 , exec , clean-hack , 0 , 0.10 , 2020 , 56
oddeven , comp , clean , 0 , 0.20 , 3924 , 1836
oddeven , exec , clean , 0 , 0.10 , 2020 , 56
oddeven , comp , clean-hack , 0 , 0.20 , 3924 , 1792
oddeven , exec , clean-hack , 0 , 0.10 , 2020 , 56
order , comp , clean , 0 , 0.20 , 3924 , 1872
order , exec , clean , 0 , 0.10 , 2020 , 56
order , comp , clean-hack , 0 , 0.20 , 3924 , 1836
order , exec , clean-hack , 0 , 0.10 , 2020 , 56
revelt , comp , clean , 0 , 0.20 , 3924 , 1796
revelt , exec , clean , 0 , 0.10 , 2020 , 56
revelt , comp , clean-hack , 0 , 0.20 , 3924 , 1784
revelt , exec , clean-hack , 0 , 0.10 , 2020 , 60
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1736
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 60
searchinconditions , comp , clean-hack , 0 , 0.20 , 3924 , 1736
searchinconditions , exec , clean-hack , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1780
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean-hack , 0 , 0.20 , 3924 , 1672
soundnessofparallelengines , exec , clean-hack , 0 , 0.10 , 2020 , 60
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1792
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 56
tautologyhard , comp , clean-hack , 0 , 0.30 , 3924 , 1872
tautologyhard , exec , clean-hack , 0 , 0.10 , 2020 , 56
tricky , comp , clean , 0 , 0.20 , 3924 , 1740
tricky , exec , clean , 0 , 0.10 , 2020 , 60
tricky , comp , clean-hack , 0 , 0.20 , 3924 , 1780
tricky , exec , clean-hack , 0 , 0.10 , 2020 , 56
calls , comp , haskell , 0 , 1.50 , 3924 , 1732
calls , exec , haskell , 0 , 0.10 , 2020 , 56
check1 , comp , haskell , 0 , 1.10 , 3924 , 1732
check1 , exec , haskell , 0 , 0.10 , 2020 , 56
check2 , comp , haskell , 0 , 1.10 , 3924 , 1796
check2 , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.10 , 3924 , 1736
confluence , exec , haskell , 0 , 0.10 , 2020 , 56
empty , comp , haskell , 0 , 1.10 , 3924 , 1780
empty , exec , haskell , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1672
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 60
garbagecollection , comp , haskell , 0 , 1.10 , 3924 , 1876
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 56
hanoi4 , comp , haskell , 0 , 1.40 , 3924 , 1612
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 60
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1764
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1760
order , comp , haskell , 0 , 1.10 , 3924 , 1872
