check2 , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.40 , 10076 , 1876
confluence , exec , haskell , 0 , 0.10 , 4080 , 84
empty , comp , haskell , 0 , 1.30 , 10076 , 1752
empty , exec , haskell , 0 , 0.10 , 4080 , 84
fibonacci05 , comp , haskell , 0 , 1.50 , 10076 , 1820
fibonacci05 , exec , haskell , 0 , 0.10 , 4080 , 84
garbagecollection , comp , haskell , 0 , 1.50 , 10076 , 1820
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 80
hanoi4 , comp , haskell , 0 , 1.80 , 10076 , 1940
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 1.50 , 10076 , 1900
oddeven , exec , haskell , 0 , 0.20 , 10076 , 1748
order , comp , haskell , 0 , 1.30 , 10076 , 1912
order , exec , haskell , 0 , 0.10 , 4080 , 84
revelt , comp , haskell , 0 , 1.60 , 10076 , 1792
revelt , exec , haskell , 0 , 0.10 , 4080 , 84
searchinconditions , comp , haskell , 0 , 1.40 , 10076 , 1916
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , haskell , 0 , 1.41 , 10076 , 1936
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 80
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1872
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 84
tricky , comp , haskell , 0 , 1.60 , 10076 , 1792
tricky , exec , haskell , 0 , 0.10 , 4080 , 84
calls , comp-exec , lnt , 0 , 2.50 , 10076 , 1932
check1 , comp-exec , lnt , 0 , 1.30 , 10076 , 1800
check2 , comp-exec , lnt , 0 , 1.40 , 10076 , 1916
confluence , comp-exec , lnt , 0 , 1.30 , 10076 , 1876
empty , comp-exec , lnt , 0 , 1.30 , 10076 , 1924
fibonacci05 , comp-exec , lnt , 0 , 1.30 , 10076 , 1820
