calls , comp , clean , 0 , 0.20 , 3924 , 1788
calls , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean , 0 , 0.20 , 3924 , 1772
check1 , exec , clean , 0 , 0.10 , 2020 , 56
check2 , comp , clean , 0 , 0.20 , 3924 , 1724
check2 , exec , clean , 0 , 0.10 , 2020 , 56
confluence , comp , clean , 0 , 0.20 , 3924 , 1788
confluence , exec , clean , 0 , 0.10 , 2020 , 56
empty , comp , clean , 0 , 0.20 , 3924 , 1736
empty , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1828
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 52
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1728
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 52
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1720
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 52
oddeven , comp , clean , 0 , 0.20 , 3924 , 1660
oddeven , exec , clean , 0 , 0.10 , 2020 , 52
order , comp , clean , 0 , 0.20 , 3924 , 1776
order , exec , clean , 0 , 0.10 , 2020 , 56
revelt , comp , clean , 0 , 0.20 , 3924 , 1776
revelt , exec , clean , 0 , 0.10 , 2020 , 56
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1768
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1776
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 56
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1828
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 52
tricky , comp , clean , 0 , 0.20 , 3924 , 1660
tricky , exec , clean , 0 , 0.10 , 2020 , 56
calls , comp , haskell , 0 , 1.20 , 3924 , 1736
calls , exec , haskell , 0 , 0.10 , 2020 , 52
check1 , comp , haskell , 0 , 1.10 , 3924 , 1828
check1 , exec , haskell , 0 , 0.10 , 2020 , 52
check2 , comp , haskell , 0 , 1.20 , 3924 , 1824
check2 , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.10 , 3924 , 1776
confluence , exec , haskell , 0 , 0.10 , 2020 , 52
empty , comp , haskell , 0 , 1.20 , 3924 , 1772
empty , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , haskell , 0 , 1.10 , 3924 , 1764
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 52
garbagecollection , comp , haskell , 0 , 1.10 , 3924 , 1748
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 52
hanoi4 , comp , haskell , 0 , 1.40 , 3924 , 1776
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 52
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1768
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1788
order , comp , haskell , 0 , 1.10 , 3924 , 1788
order , exec , haskell , 0 , 0.10 , 2020 , 52
revelt , comp , haskell , 0 , 1.20 , 3924 , 1732
revelt , exec , haskell , 0 , 0.10 , 2020 , 52
searchinconditions , comp , haskell , 0 , 1.30 , 3924 , 1772
searchinconditions , exec , haskell , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , haskell , 0 , 1.10 , 3924 , 1788
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 2020 , 52
tautologyhard , comp , haskell , 0 , 1.20 , 3924 , 1716
tautologyhard , exec , haskell , 0 , 0.10 , 2020 , 52
tricky , comp , haskell , 0 , 1.30 , 3924 , 1724
tricky , exec , haskell , 0 , 0.10 , 2020 , 48
calls , comp-exec , lnt , 0 , 1.21 , 3924 , 1780
check1 , comp-exec , lnt , 0 , 1.20 , 3924 , 1788
check2 , comp-exec , lnt , 0 , 1.20 , 3924 , 1752
confluence , comp-exec , lnt , 0 , 1.20 , 3924 , 1764
empty , comp-exec , lnt , 0 , 1.70 , 3924 , 1796
fibonacci05 , comp-exec , lnt , 0 , 1.20 , 3924 , 1736
garbagecollection , comp-exec , lnt , 0 , 1.30 , 3924 , 1776
hanoi4 , comp-exec , lnt , 0 , 1.30 , 3924 , 1776
oddeven , comp-exec , lnt , 0 , 1.30 , 3924 , 1788
order , comp-exec , lnt , 0 , 1.20 , 3924 , 1720
revelt , comp-exec , lnt , 0 , 1.20 , 3924 , 1596
searchinconditions , comp-exec , lnt , 0 , 1.30 , 3924 , 1772
soundnessofparallelengines , comp-exec , lnt , 0 , 1.20 , 3924 , 1660
tautologyhard , comp-exec , lnt , 0 , 1.40 , 3924 , 1748
tricky , comp-exec , lnt , 0 , 1.20 , 3924 , 1732
calls , comp-exec , lotos , 0 , 0.60 , 3924 , 1596
check1 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
