calls , comp , clean , 0 , 0.20 , 3924 , 1780
calls , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean , 0 , 0.20 , 3924 , 1724
check1 , exec , clean , 0 , 0.10 , 2020 , 52
check2 , comp , clean , 0 , 0.20 , 3924 , 1776
check2 , exec , clean , 0 , 0.10 , 2020 , 56
closure , comp , clean , 0 , 0.30 , 3924 , 1736
closure , exec , clean , 0 , 0.20 , 3924 , 1732
confluence , comp , clean , 0 , 0.20 , 3924 , 1824
confluence , exec , clean , 0 , 0.10 , 2020 , 52
empty , comp , clean , 0 , 0.20 , 3924 , 1736
empty , exec , clean , 0 , 0.10 , 2020 , 56
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1724
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1780
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 52
oddeven , comp , clean , 0 , 0.20 , 3924 , 1768
oddeven , exec , clean , 0 , 0.10 , 2020 , 52
order , comp , clean , 0 , 0.20 , 3924 , 1776
order , exec , clean , 0 , 0.10 , 2020 , 52
revelt , comp , clean , 0 , 0.20 , 3924 , 1596
revelt , exec , clean , 0 , 0.10 , 2020 , 52
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1828
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1664
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 52
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1732
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 56
tricky , comp , clean , 0 , 0.20 , 3924 , 1784
tricky , exec , clean , 0 , 0.10 , 2020 , 52
calls , comp , haskell , 0 , 1.10 , 3924 , 1748
calls , exec , haskell , 0 , 0.10 , 2020 , 52
check1 , comp , haskell , 0 , 1.10 , 3924 , 1772
check1 , exec , haskell , 0 , 0.10 , 2020 , 56
check2 , comp , haskell , 0 , 1.10 , 3924 , 1732
check2 , exec , haskell , 0 , 0.10 , 2020 , 52
closure , comp , haskell , 0 , 3.00 , 3924 , 1724
closure , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.10 , 3924 , 1664
confluence , exec , haskell , 0 , 0.10 , 2020 , 52
empty , comp , haskell , 0 , 1.20 , 3924 , 1780
empty , exec , haskell , 0 , 0.10 , 2020 , 52
garbagecollection , comp , haskell , 0 , 1.20 , 3924 , 1768
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 48
hanoi4 , comp , haskell , 0 , 1.40 , 3924 , 1724
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 52
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1772
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1828
order , comp , haskell , 0 , 1.20 , 3924 , 1772
order , exec , haskell , 0 , 0.10 , 2020 , 52
revelt , comp , haskell , 0 , 1.20 , 3924 , 1824
revelt , exec , haskell , 0 , 0.10 , 2020 , 52
searchinconditions , comp , haskell , 0 , 1.10 , 3924 , 1716
searchinconditions , exec , haskell , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , haskell , 0 , 1.20 , 3924 , 1664
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 2020 , 52
tautologyhard , comp , haskell , 0 , 1.10 , 3924 , 1768
tautologyhard , exec , haskell , 0 , 0.10 , 2020 , 52
tricky , comp , haskell , 0 , 1.20 , 3924 , 1720
tricky , exec , haskell , 0 , 0.10 , 2020 , 52
calls , comp-exec , lnt , 0 , 1.20 , 3924 , 1768
check1 , comp-exec , lnt , 0 , 1.20 , 3924 , 1868
check2 , comp-exec , lnt , 0 , 1.20 , 3924 , 1660
closure , comp-exec , lnt , 0 , 2.50 , 3924 , 1788
confluence , comp-exec , lnt , 0 , 1.20 , 3924 , 1780
empty , comp-exec , lnt , 0 , 1.20 , 3924 , 1868
garbagecollection , comp-exec , lnt , 0 , 1.20 , 3924 , 1764
hanoi4 , comp-exec , lnt , 0 , 1.30 , 3924 , 1736
oddeven , comp-exec , lnt , 0 , 1.30 , 3924 , 1824
order , comp-exec , lnt , 0 , 1.30 , 3924 , 1764
revelt , comp-exec , lnt , 0 , 1.20 , 3924 , 1780
searchinconditions , comp-exec , lnt , 0 , 1.20 , 3924 , 1784
soundnessofparallelengines , comp-exec , lnt , 0 , 1.30 , 3924 , 1788
tautologyhard , comp-exec , lnt , 0 , 1.40 , 3924 , 1788
tricky , comp-exec , lnt , 0 , 1.20 , 3924 , 1732
calls , comp-exec , lotos , 0 , 0.60 , 3924 , 1868
check1 , comp-exec , lotos , 0 , 0.60 , 3924 , 1716
check2 , comp-exec , lotos , 0 , 0.60 , 3924 , 1600
closure , comp-exec , lotos , 0 , 1.80 , 3924 , 1752
confluence , comp-exec , lotos , 0 , 0.70 , 3924 , 1776
empty , comp-exec , lotos , 0 , 0.60 , 3924 , 1720
garbagecollection , comp-exec , lotos , 0 , 0.70 , 3924 , 1732
hanoi4 , comp-exec , lotos , 0 , 0.90 , 3924 , 1780
oddeven , comp-exec , lotos , 0 , 0.70 , 3924 , 1728
order , comp-exec , lotos , 0 , 0.60 , 3924 , 1788
revelt , comp-exec , lotos , 0 , 0.60 , 3924 , 1736
searchinconditions , comp-exec , lotos , 0 , 0.60 , 3924 , 1716
soundnessofparallelengines , comp-exec , lotos , 0 , 0.60 , 3924 , 1556
tautologyhard , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
tricky , comp-exec , lotos , 0 , 0.60 , 3924 , 1792
calls , comp-exec , maude , 0 , 0.10 , 2020 , 52
check1 , comp-exec , maude , 0 , 0.10 , 2020 , 52
check2 , comp-exec , maude , 0 , 0.10 , 2020 , 52
closure , comp-exec , maude , 0 , 0.60 , 3924 , 1728
confluence , comp-exec , maude , 0 , 0.10 , 2020 , 48
empty , comp-exec , maude , 0 , 0.10 , 2020 , 52
garbagecollection , comp-exec , maude , 0 , 0.10 , 2020 , 52
hanoi4 , comp-exec , maude , 0 , 0.10 , 2020 , 56
oddeven , comp-exec , maude , 0 , 3.40 , 3924 , 1784
order , comp-exec , maude , 0 , 0.10 , 2020 , 56
revelt , comp-exec , maude , 0 , 0.10 , 2020 , 56
searchinconditions , comp-exec , maude , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 2020 , 52
tautologyhard , comp-exec , maude , 0 , 0.10 , 2020 , 52
tricky , comp-exec , maude , 0 , 0.10 , 2020 , 52
calls , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
calls , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
calls , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
calls , exec , mcrl2-jittyc , 0 , 10.91 , 3924 , 1732
check1 , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
check1 , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
check1 , exec , mcrl2-jittyc , 0 , 9.41 , 3924 , 1736
check2 , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
check2 , exec , mcrl2-default , 0 , 0.10 , 2020 , 56
check2 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
check2 , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1736
closure , comp , mcrl2-default , 0 , 0.50 , 3924 , 1772
closure , exec , mcrl2-default , 0 , 3.40 , 3924 , 1748
closure , comp , mcrl2-jittyc , 0 , 0.50 , 3924 , 1716
closure , exec , mcrl2-jittyc , 0 , 13.61 , 3924 , 1660
confluence , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
confluence , exec , mcrl2-default , 0 , 0.10 , 2020 , 56
confluence , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
confluence , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1828
empty , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
empty , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
empty , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
empty , exec , mcrl2-jittyc , 0 , 9.23 , 3924 , 1868
garbagecollection , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
garbagecollection , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
garbagecollection , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
garbagecollection , exec , mcrl2-jittyc , 0 , 10.73 , 3924 , 1788
hanoi4 , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
hanoi4 , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
hanoi4 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 48
hanoi4 , exec , mcrl2-jittyc , 0 , 12.11 , 3924 , 1736
oddeven , comp , mcrl2-default , 0 , 0.10 , 2020 , 56
oddeven , exec , mcrl2-default , 0 , 12.51 , 3924 , 1716
oddeven , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
oddeven , exec , mcrl2-jittyc , 0 , 21.32 , 3924 , 1716
order , comp , mcrl2-default , 0 , 0.10 , 2020 , 56
order , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
order , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
order , exec , mcrl2-jittyc , 0 , 9.41 , 3924 , 1596
revelt , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
revelt , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
revelt , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
revelt , exec , mcrl2-jittyc , 0 , 9.71 , 3924 , 1596
searchinconditions , comp , mcrl2-default , 0 , 0.10 , 2020 , 56
searchinconditions , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
searchinconditions , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
searchinconditions , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1716
soundnessofparallelengines , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , exec , mcrl2-default , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1872
tautologyhard , comp , mcrl2-default , 0 , 0.10 , 2020 , 56
tautologyhard , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
tautologyhard , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 52
tautologyhard , exec , mcrl2-jittyc , 0 , 10.91 , 3924 , 1724
tricky , comp , mcrl2-default , 0 , 0.10 , 2020 , 52
tricky , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
tricky , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
tricky , exec , mcrl2-jittyc , 0 , 11.41 , 3924 , 1740
calls , comp , ocaml , 0 , 0.10 , 2020 , 56
