calls , comp , clean , 0 , 0.20 , 10076 , 1732
calls , exec , clean , 0 , 0.10 , 4080 , 76
check1 , comp , clean , 0 , 0.20 , 10076 , 1800
check1 , exec , clean , 0 , 0.10 , 4080 , 76
check2 , comp , clean , 0 , 0.20 , 10076 , 1844
check2 , exec , clean , 0 , 0.10 , 4080 , 80
closure , comp , clean , 0 , 0.40 , 10076 , 1912
closure , exec , clean , 0 , 0.10 , 4080 , 80
confluence , comp , clean , 0 , 0.20 , 10076 , 1900
confluence , exec , clean , 0 , 0.10 , 4080 , 76
empty , comp , clean , 0 , 0.20 , 10076 , 1856
empty , exec , clean , 0 , 0.10 , 4080 , 80
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1780
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 80
hanoi4 , comp , clean , 0 , 1.60 , 10076 , 1800
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 80
natlist , comp , clean , 0 , 0.30 , 10076 , 1852
natlist , exec , clean , 0 , 0.10 , 4080 , 76
oddeven , comp , clean , 0 , 0.20 , 10076 , 1912
oddeven , exec , clean , 0 , 0.10 , 4080 , 76
order , comp , clean , 0 , 0.20 , 10076 , 1800
order , exec , clean , 0 , 0.10 , 4080 , 80
revelt , comp , clean , 0 , 0.20 , 10076 , 1852
revelt , exec , clean , 0 , 0.10 , 4080 , 76
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1892
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1900
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean , 0 , 0.30 , 10076 , 1888
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 80
tricky , comp , clean , 0 , 0.20 , 10076 , 1912
tricky , exec , clean , 0 , 0.10 , 4080 , 80
calls , comp , haskell , 0 , 1.60 , 10076 , 1776
calls , exec , haskell , 0 , 0.10 , 4080 , 76
check1 , comp , haskell , 0 , 1.40 , 10076 , 1844
check1 , exec , haskell , 0 , 0.10 , 4080 , 76
check2 , comp , haskell , 0 , 1.40 , 10076 , 1740
check2 , exec , haskell , 0 , 0.10 , 4080 , 80
closure , comp , haskell , 0 , 3.50 , 10076 , 1796
closure , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.40 , 10076 , 1736
confluence , exec , haskell , 0 , 0.10 , 4080 , 80
empty , comp , haskell , 0 , 1.40 , 10076 , 1916
empty , exec , haskell , 0 , 0.10 , 4080 , 80
garbagecollection , comp , haskell , 0 , 1.61 , 10076 , 1852
