calls , comp , clean , 0 , 0.20 , 3924 , 1768
calls , exec , clean , 0 , 0.10 , 2020 , 52
check1 , comp , clean , 0 , 0.20 , 3924 , 1752
check1 , exec , clean , 0 , 0.10 , 2020 , 52
check2 , comp , clean , 0 , 0.20 , 3924 , 1724
check2 , exec , clean , 0 , 0.10 , 2020 , 52
closure , comp , clean , 0 , 0.30 , 3924 , 1872
closure , exec , clean , 0 , 0.10 , 2020 , 52
confluence , comp , clean , 0 , 0.20 , 3924 , 1732
confluence , exec , clean , 0 , 0.10 , 2020 , 56
empty , comp , clean , 0 , 0.20 , 3924 , 1592
empty , exec , clean , 0 , 0.10 , 2020 , 52
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1724
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 52
natlist , comp , clean , 0 , 0.30 , 3924 , 1600
natlist , exec , clean , 0 , 0.10 , 2020 , 52
oddeven , comp , clean , 0 , 0.30 , 3924 , 1788
oddeven , exec , clean , 0 , 0.10 , 2020 , 52
order , comp , clean , 0 , 0.20 , 3924 , 1724
order , exec , clean , 0 , 0.10 , 2020 , 52
revelt , comp , clean , 0 , 0.20 , 3924 , 1784
revelt , exec , clean , 0 , 0.10 , 2020 , 52
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1728
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1660
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 52
tautologyhard , comp , clean , 0 , 0.30 , 3924 , 1768
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 56
tricky , comp , clean , 0 , 0.20 , 3924 , 1776
tricky , exec , clean , 0 , 0.10 , 2020 , 52
calls , comp , haskell , 0 , 1.20 , 3924 , 1732
calls , exec , haskell , 0 , 0.10 , 2020 , 52
check1 , comp , haskell , 0 , 1.10 , 3924 , 1724
check1 , exec , haskell , 0 , 0.10 , 2020 , 52
check2 , comp , haskell , 0 , 1.10 , 3924 , 1768
check2 , exec , haskell , 0 , 0.10 , 2020 , 56
closure , comp , haskell , 0 , 3.00 , 3924 , 1768
closure , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.10 , 3924 , 1596
confluence , exec , haskell , 0 , 0.10 , 2020 , 48
empty , comp , haskell , 0 , 1.10 , 3924 , 1764
empty , exec , haskell , 0 , 0.10 , 2020 , 56
garbagecollection , comp , haskell , 0 , 1.10 , 3924 , 1776
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 52
natlist , comp , haskell , 0 , 1.70 , 3924 , 1764
natlist , exec , haskell , 0 , 0.10 , 2020 , 52
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1868
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1748
order , comp , haskell , 0 , 1.10 , 3924 , 1792
order , exec , haskell , 0 , 0.10 , 2020 , 56
revelt , comp , haskell , 0 , 1.20 , 3924 , 1716
revelt , exec , haskell , 0 , 0.10 , 2020 , 52
searchinconditions , comp , haskell , 0 , 1.20 , 3924 , 1768
searchinconditions , exec , haskell , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , haskell , 0 , 1.10 , 3924 , 1716
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 2020 , 56
tautologyhard , comp , haskell , 0 , 1.20 , 3924 , 1660
tautologyhard , exec , haskell , 0 , 0.10 , 2020 , 52
tricky , comp , haskell , 0 , 1.30 , 3924 , 1748
tricky , exec , haskell , 0 , 0.10 , 2020 , 48
calls , comp-exec , lnt , 0 , 1.20 , 3924 , 1660
check1 , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
check2 , comp-exec , lnt , 0 , 1.20 , 3924 , 1792
closure , comp-exec , lnt , 0 , 2.60 , 3924 , 1776
confluence , comp-exec , lnt , 0 , 1.20 , 3924 , 1868
empty , comp-exec , lnt , 0 , 1.20 , 3924 , 1792
garbagecollection , comp-exec , lnt , 0 , 1.30 , 3924 , 1768
natlist , comp-exec , lnt , 0 , 1.50 , 3924 , 1868
oddeven , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
order , comp-exec , lnt , 0 , 1.30 , 3924 , 1768
revelt , comp-exec , lnt , 0 , 1.50 , 3924 , 1728
searchinconditions , comp-exec , lnt , 0 , 1.20 , 3924 , 1724
soundnessofparallelengines , comp-exec , lnt , 0 , 1.30 , 3924 , 1732
tautologyhard , comp-exec , lnt , 0 , 1.40 , 3924 , 1716
tricky , comp-exec , lnt , 0 , 1.30 , 3924 , 1828
calls , comp-exec , lotos , 0 , 0.60 , 3924 , 1776
check1 , comp-exec , lotos , 0 , 0.60 , 3924 , 1716
check2 , comp-exec , lotos , 0 , 0.60 , 3924 , 1828
closure , comp-exec , lotos , 0 , 1.90 , 3924 , 1752
confluence , comp-exec , lotos , 0 , 0.60 , 3924 , 1716
empty , comp-exec , lotos , 0 , 0.60 , 3924 , 1768
garbagecollection , comp-exec , lotos , 0 , 0.60 , 3924 , 1736
natlist , comp-exec , lotos , 0 , 0.80 , 3924 , 1664
oddeven , comp-exec , lotos , 0 , 0.70 , 3924 , 1788
order , comp-exec , lotos , 0 , 0.60 , 3924 , 1824
revelt , comp-exec , lotos , 0 , 0.70 , 3924 , 1764
searchinconditions , comp-exec , lotos , 0 , 0.60 , 3924 , 1772
soundnessofparallelengines , comp-exec , lotos , 0 , 0.60 , 3924 , 1776
tautologyhard , comp-exec , lotos , 0 , 0.70 , 3924 , 1660
tricky , comp-exec , lotos , 0 , 0.70 , 3924 , 1776
calls , comp-exec , maude , 0 , 0.10 , 2020 , 52
check1 , comp-exec , maude , 0 , 0.10 , 2020 , 56
check2 , comp-exec , maude , 0 , 0.10 , 2020 , 52
closure , comp-exec , maude , 0 , 0.60 , 3924 , 1752
confluence , comp-exec , maude , 0 , 0.10 , 2020 , 56
