calls , comp , clean , 0 , 0.30 , 3924 , 1748
calls , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean , 0 , 0.20 , 3924 , 1716
check1 , exec , clean , 0 , 0.10 , 2020 , 52
check2 , comp , clean , 0 , 0.20 , 3924 , 1776
check2 , exec , clean , 0 , 0.10 , 2020 , 56
confluence , comp , clean , 0 , 0.20 , 3924 , 1768
confluence , exec , clean , 0 , 0.10 , 2020 , 52
empty , comp , clean , 0 , 0.20 , 3924 , 1776
empty , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1724
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 52
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1788
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 52
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1776
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 56
oddeven , comp , clean , 0 , 0.20 , 3924 , 1592
oddeven , exec , clean , 0 , 0.10 , 2020 , 52
order , comp , clean , 0 , 0.20 , 3924 , 1660
order , exec , clean , 0 , 0.10 , 2020 , 52
revelt , comp , clean , 0 , 0.50 , 3924 , 1776
revelt , exec , clean , 0 , 0.10 , 2020 , 56
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1596
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1772
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 52
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1716
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 56
tricky , comp , clean , 0 , 0.20 , 3924 , 1768
tricky , exec , clean , 0 , 0.10 , 2020 , 52
calls , comp , haskell , 0 , 1.10 , 3924 , 1748
calls , exec , haskell , 0 , 0.10 , 2020 , 56
check1 , comp , haskell , 0 , 1.10 , 3924 , 1660
check1 , exec , haskell , 0 , 0.10 , 2020 , 56
check2 , comp , haskell , 0 , 1.20 , 3924 , 1784
check2 , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.20 , 3924 , 1748
confluence , exec , haskell , 0 , 0.10 , 2020 , 52
empty , comp , haskell , 0 , 1.10 , 3924 , 1868
empty , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1728
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 52
garbagecollection , comp , haskell , 0 , 1.30 , 3924 , 1788
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 52
hanoi4 , comp , haskell , 0 , 1.40 , 3924 , 1724
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 52
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1824
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1780
order , comp , haskell , 0 , 1.10 , 3924 , 1724
order , exec , haskell , 0 , 0.10 , 2020 , 52
revelt , comp , haskell , 0 , 1.20 , 3924 , 1736
revelt , exec , haskell , 0 , 0.10 , 2020 , 52
searchinconditions , comp , haskell , 0 , 1.10 , 3924 , 1828
searchinconditions , exec , haskell , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , haskell , 0 , 1.20 , 3924 , 1784
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 2020 , 52
tautologyhard , comp , haskell , 0 , 1.10 , 3924 , 1736
tautologyhard , exec , haskell , 0 , 0.10 , 2020 , 52
tricky , comp , haskell , 0 , 1.30 , 3924 , 1792
tricky , exec , haskell , 0 , 0.10 , 2020 , 52
calls , comp-exec , lnt , 0 , 1.20 , 3924 , 1720
check1 , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
check2 , comp-exec , lnt , 0 , 1.30 , 3924 , 1736
confluence , comp-exec , lnt , 0 , 1.20 , 3924 , 1736
empty , comp-exec , lnt , 0 , 1.20 , 3924 , 1716
fibonacci05 , comp-exec , lnt , 0 , 1.20 , 3924 , 1788
garbagecollection , comp-exec , lnt , 0 , 1.20 , 3924 , 1780
hanoi4 , comp-exec , lnt , 0 , 1.30 , 3924 , 1764
oddeven , comp-exec , lnt , 0 , 1.30 , 3924 , 1728
order , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
revelt , comp-exec , lnt , 0 , 1.20 , 3924 , 1720
searchinconditions , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
soundnessofparallelengines , comp-exec , lnt , 0 , 1.20 , 3924 , 1784
tautologyhard , comp-exec , lnt , 0 , 1.30 , 3924 , 1728
tricky , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
calls , comp-exec , lotos , 0 , 0.60 , 3924 , 1792
check1 , comp-exec , lotos , 0 , 0.60 , 3924 , 1724
check2 , comp-exec , lotos , 0 , 0.70 , 3924 , 1716
confluence , comp-exec , lotos , 0 , 0.60 , 3924 , 1748
empty , comp-exec , lotos , 0 , 0.60 , 3924 , 1736
fibonacci05 , comp-exec , lotos , 0 , 0.80 , 3924 , 1656
garbagecollection , comp-exec , lotos , 0 , 0.71 , 3924 , 1780
hanoi4 , comp-exec , lotos , 0 , 0.70 , 3924 , 1784
oddeven , comp-exec , lotos , 0 , 0.70 , 3924 , 1780
order , comp-exec , lotos , 0 , 0.70 , 3924 , 1716
revelt , comp-exec , lotos , 0 , 0.60 , 3924 , 1868
searchinconditions , comp-exec , lotos , 0 , 0.60 , 3924 , 1768
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 3924 , 1716
tautologyhard , comp-exec , lotos , 0 , 0.80 , 3924 , 1768
tricky , comp-exec , lotos , 0 , 0.60 , 3924 , 1724
calls , comp-exec , maude , 0 , 0.10 , 2020 , 52
check1 , comp-exec , maude , 0 , 0.10 , 2020 , 56
check2 , comp-exec , maude , 0 , 0.10 , 2020 , 52
confluence , comp-exec , maude , 0 , 0.10 , 2020 , 56
empty , comp-exec , maude , 0 , 0.10 , 2020 , 52
fibonacci05 , comp-exec , maude , 0 , 0.10 , 2020 , 52
garbagecollection , comp-exec , maude , 0 , 0.10 , 2020 , 52
hanoi4 , comp-exec , maude , 0 , 0.10 , 2020 , 52
oddeven , comp-exec , maude , 0 , 3.52 , 3924 , 1824
order , comp-exec , maude , 0 , 0.20 , 3924 , 1776
revelt , comp-exec , maude , 0 , 0.20 , 3924 , 1728
searchinconditions , comp-exec , maude , 0 , 0.20 , 3924 , 1824
soundnessofparallelengines , comp-exec , maude , 0 , 0.20 , 3924 , 1828
tautologyhard , comp-exec , maude , 0 , 0.20 , 3924 , 1872
tricky , comp-exec , maude , 0 , 0.20 , 3924 , 1772
calls , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
