calls , comp , clean , 0 , 0.20 , 3924 , 1596
calls , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean , 0 , 0.20 , 3924 , 1776
check1 , exec , clean , 0 , 0.10 , 2020 , 56
check2 , comp , clean , 0 , 0.20 , 3924 , 1732
check2 , exec , clean , 0 , 0.10 , 2020 , 56
closure , comp , clean , 0 , 0.30 , 3924 , 1868
closure , exec , clean , 0 , 0.10 , 2020 , 52
confluence , comp , clean , 0 , 0.20 , 3924 , 1724
confluence , exec , clean , 0 , 0.10 , 2020 , 52
empty , comp , clean , 0 , 0.20 , 3924 , 1868
empty , exec , clean , 0 , 0.10 , 2020 , 52
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1776
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 56
natlist , comp , clean , 0 , 0.30 , 3924 , 1868
natlist , exec , clean , 0 , 0.10 , 2020 , 52
oddeven , comp , clean , 0 , 0.20 , 3924 , 1780
oddeven , exec , clean , 0 , 0.10 , 2020 , 52
order , comp , clean , 0 , 0.20 , 3924 , 1736
order , exec , clean , 0 , 0.10 , 2020 , 52
revelt , comp , clean , 0 , 0.20 , 3924 , 1764
revelt , exec , clean , 0 , 0.10 , 2020 , 52
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1868
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1660
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 52
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1716
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 52
tricky , comp , clean , 0 , 0.20 , 3924 , 1748
tricky , exec , clean , 0 , 0.10 , 2020 , 52
calls , comp , haskell , 0 , 1.20 , 3924 , 1736
calls , exec , haskell , 0 , 0.10 , 2020 , 52
check1 , comp , haskell , 0 , 1.20 , 3924 , 1724
check1 , exec , haskell , 0 , 0.10 , 2020 , 52
check2 , comp , haskell , 0 , 1.10 , 3924 , 1724
check2 , exec , haskell , 0 , 0.10 , 2020 , 52
closure , comp , haskell , 0 , 3.00 , 3924 , 1772
closure , exec , haskell , 0 , 0.10 , 2020 , 52
confluence , comp , haskell , 0 , 1.20 , 3924 , 1716
confluence , exec , haskell , 0 , 0.10 , 2020 , 52
empty , comp , haskell , 0 , 1.10 , 3924 , 1868
empty , exec , haskell , 0 , 0.10 , 2020 , 48
garbagecollection , comp , haskell , 0 , 1.20 , 3924 , 1872
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 52
natlist , comp , haskell , 0 , 1.70 , 3924 , 1780
natlist , exec , haskell , 0 , 0.10 , 2020 , 48
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1684
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1752
order , comp , haskell , 0 , 1.20 , 3924 , 1724
order , exec , haskell , 0 , 0.10 , 2020 , 52
revelt , comp , haskell , 0 , 1.20 , 3924 , 1768
revelt , exec , haskell , 0 , 0.10 , 2020 , 56
searchinconditions , comp , haskell , 0 , 1.10 , 3924 , 1664
searchinconditions , exec , haskell , 0 , 0.10 , 2020 , 52
soundnessofparallelengines , comp , haskell , 0 , 1.10 , 3924 , 1724
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 2020 , 52
tautologyhard , comp , haskell , 0 , 1.10 , 3924 , 1596
tautologyhard , exec , haskell , 0 , 0.10 , 2020 , 52
tricky , comp , haskell , 0 , 1.20 , 3924 , 1600
tricky , exec , haskell , 0 , 0.10 , 2020 , 56
calls , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
check1 , comp-exec , lnt , 0 , 1.20 , 3924 , 1660
check2 , comp-exec , lnt , 0 , 1.20 , 3924 , 1660
closure , comp-exec , lnt , 0 , 2.60 , 3924 , 1764
confluence , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
empty , comp-exec , lnt , 0 , 1.30 , 3924 , 1768
garbagecollection , comp-exec , lnt , 0 , 1.30 , 3924 , 1784
natlist , comp-exec , lnt , 0 , 1.60 , 3924 , 1724
oddeven , comp-exec , lnt , 0 , 1.50 , 3924 , 1732
order , comp-exec , lnt , 0 , 1.20 , 3924 , 1724
revelt , comp-exec , lnt , 0 , 1.30 , 3924 , 1736
searchinconditions , comp-exec , lnt , 0 , 1.20 , 3924 , 1784
soundnessofparallelengines , comp-exec , lnt , 0 , 1.30 , 3924 , 1688
tautologyhard , comp-exec , lnt , 0 , 1.40 , 3924 , 1724
tricky , comp-exec , lnt , 0 , 1.30 , 3924 , 1732
calls , comp-exec , lotos , 0 , 0.60 , 3924 , 1732
check1 , comp-exec , lotos , 0 , 0.60 , 3924 , 1764
check2 , comp-exec , lotos , 0 , 0.60 , 3924 , 1868
closure , comp-exec , lotos , 0 , 1.80 , 3924 , 1788
confluence , comp-exec , lotos , 0 , 0.70 , 3924 , 1596
empty , comp-exec , lotos , 0 , 0.70 , 3924 , 1796
garbagecollection , comp-exec , lotos , 0 , 0.70 , 3924 , 1824
natlist , comp-exec , lotos , 0 , 0.90 , 3924 , 1736
oddeven , comp-exec , lotos , 0 , 0.70 , 3924 , 1596
