calls , comp , clean , 0 , 1.20 , 10076 , 1924
calls , exec , clean , 0 , 0.10 , 4080 , 80
calls , comp , clean-hack , 0 , 0.40 , 10076 , 1788
calls , exec , clean-hack , 0 , 0.10 , 4080 , 80
check1 , comp , clean , 0 , 0.20 , 10076 , 1756
check1 , exec , clean , 0 , 0.10 , 4080 , 80
check1 , comp , clean-hack , 0 , 0.40 , 10076 , 1912
check1 , exec , clean-hack , 0 , 0.10 , 4080 , 84
check2 , comp , clean , 0 , 0.20 , 10076 , 1752
check2 , exec , clean , 0 , 0.10 , 4080 , 84
check2 , comp , clean-hack , 0 , 0.40 , 10076 , 1876
check2 , exec , clean-hack , 0 , 0.10 , 4080 , 84
confluence , comp , clean , 0 , 0.20 , 10076 , 1912
confluence , exec , clean , 0 , 0.10 , 4080 , 84
confluence , comp , clean-hack , 0 , 0.40 , 10076 , 1900
confluence , exec , clean-hack , 0 , 0.10 , 4080 , 80
empty , comp , clean , 0 , 0.20 , 10076 , 1756
empty , exec , clean , 0 , 0.10 , 4080 , 84
empty , comp , clean-hack , 0 , 0.40 , 10076 , 1912
empty , exec , clean-hack , 0 , 0.10 , 4080 , 84
fibonacci05 , comp , clean , 0 , 0.20 , 10076 , 1932
fibonacci05 , exec , clean , 0 , 0.10 , 4080 , 84
fibonacci05 , comp , clean-hack , 0 , 0.40 , 10076 , 1820
fibonacci05 , exec , clean-hack , 0 , 0.10 , 4080 , 84
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1904
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 84
garbagecollection , comp , clean-hack , 0 , 0.40 , 10076 , 1900
garbagecollection , exec , clean-hack , 0 , 0.10 , 4080 , 80
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1756
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 84
hanoi4 , comp , clean-hack , 0 , 0.40 , 10076 , 1788
hanoi4 , exec , clean-hack , 0 , 0.10 , 4080 , 80
oddeven , comp , clean , 0 , 0.20 , 10076 , 1880
oddeven , exec , clean , 0 , 0.10 , 4080 , 84
oddeven , comp , clean-hack , 0 , 0.40 , 10076 , 1832
oddeven , exec , clean-hack , kill-7 , 0.10 , 4080 , 84
order , comp , clean , 0 , 0.20 , 10076 , 1936
order , exec , clean , 0 , 0.10 , 4080 , 84
order , comp , clean-hack , 0 , 0.40 , 10076 , 1876
order , exec , clean-hack , 0 , 0.10 , 4080 , 84
revelt , comp , clean , 0 , 0.20 , 10076 , 1876
revelt , exec , clean , 0 , 0.10 , 4080 , 80
revelt , comp , clean-hack , 0 , 0.40 , 10076 , 1752
revelt , exec , clean-hack , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1820
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 84
searchinconditions , comp , clean-hack , 0 , 0.40 , 10076 , 1876
searchinconditions , exec , clean-hack , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1916
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , clean-hack , 0 , 0.40 , 10076 , 1752
soundnessofparallelengines , exec , clean-hack , 0 , 0.10 , 4080 , 84
tautologyhard , comp , clean , 0 , 0.20 , 10076 , 1820
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean-hack , 0 , 0.40 , 10076 , 1928
tautologyhard , exec , clean-hack , 0 , 0.10 , 4080 , 80
tricky , comp , clean , 0 , 0.20 , 10076 , 1816
tricky , exec , clean , 0 , 0.10 , 4080 , 84
tricky , comp , clean-hack , 0 , 0.40 , 10076 , 1936
tricky , exec , clean-hack , 0 , 0.10 , 4080 , 84
calls , comp , haskell , 0 , 10.21 , 10076 , 1860
calls , exec , haskell , 0 , 0.10 , 4080 , 84
check1 , comp , haskell , 0 , 1.40 , 10076 , 1876
check1 , exec , haskell , 0 , 0.10 , 4080 , 80
check2 , comp , haskell , 0 , 1.30 , 10076 , 1752
check2 , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.40 , 10076 , 1932
confluence , exec , haskell , 0 , 0.10 , 4080 , 80
empty , comp , haskell , 0 , 1.40 , 10076 , 1936
empty , exec , haskell , 0 , 0.10 , 4080 , 80
fibonacci05 , comp , haskell , 0 , 1.50 , 10076 , 1916
fibonacci05 , exec , haskell , 0 , 0.10 , 4080 , 80
garbagecollection , comp , haskell , 0 , 1.50 , 10076 , 1876
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 80
hanoi4 , comp , haskell , 0 , 1.80 , 10076 , 1872
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 84
oddeven , comp , haskell , 0 , 1.60 , 10076 , 1932
oddeven , exec , haskell , 0 , 0.20 , 10076 , 1752
order , comp , haskell , 0 , 1.70 , 10076 , 1936
order , exec , haskell , 0 , 0.10 , 4080 , 80
revelt , comp , haskell , 0 , 1.60 , 10076 , 1756
revelt , exec , haskell , 0 , 0.10 , 4080 , 80
searchinconditions , comp , haskell , 0 , 1.30 , 10076 , 1936
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , haskell , 0 , 1.40 , 10076 , 1920
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 84
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1912
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 84
tricky , comp , haskell , 0 , 1.60 , 10076 , 1820
tricky , exec , haskell , 0 , 0.10 , 4080 , 84
calls , comp-exec , lnt , 0 , 2.41 , 10076 , 1872
check1 , comp-exec , lnt , 0 , 1.40 , 10076 , 1940
check2 , comp-exec , lnt , 0 , 1.40 , 10076 , 1912
confluence , comp-exec , lnt , 0 , 1.40 , 10076 , 1748
empty , comp-exec , lnt , 0 , 1.30 , 10076 , 1820
fibonacci05 , comp-exec , lnt , 0 , 1.40 , 10076 , 1816
garbagecollection , comp-exec , lnt , 0 , 1.40 , 10076 , 1904
hanoi4 , comp-exec , lnt , 0 , 1.50 , 10076 , 1820
oddeven , comp-exec , lnt , 0 , 1.40 , 10076 , 1872
order , comp-exec , lnt , 0 , 1.40 , 10076 , 1836
revelt , comp-exec , lnt , 0 , 1.40 , 10076 , 1924
searchinconditions , comp-exec , lnt , 0 , 1.30 , 10076 , 1876
soundnessofparallelengines , comp-exec , lnt , 0 , 1.40 , 10076 , 1752
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1756
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1876
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1816
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1816
check2 , comp-exec , lotos , 0 , 0.70 , 10076 , 1876
confluence , comp-exec , lotos , 0 , 0.70 , 10076 , 1936
empty , comp-exec , lotos , 0 , 0.80 , 10076 , 1936
