calls , comp , clean , 0 , 0.80 , 10076 , 1764
calls , exec , clean , 0 , 0.10 , 4080 , 80
check1 , comp , clean , 0 , 0.20 , 10076 , 1736
check1 , exec , clean , 0 , 0.10 , 4080 , 80
check2 , comp , clean , 0 , 0.20 , 10076 , 1736
check2 , exec , clean , 0 , 0.10 , 4080 , 80
closure , comp , clean , 0 , 0.40 , 10076 , 1756
closure , exec , clean , 0 , 0.10 , 4080 , 80
confluence , comp , clean , 0 , 0.20 , 10076 , 1824
confluence , exec , clean , 0 , 0.10 , 4080 , 80
empty , comp , clean , 0 , 0.20 , 10076 , 1812
empty , exec , clean , 0 , 0.10 , 4080 , 76
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1812
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 76
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1764
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 80
natlist , comp , clean , 0 , 0.30 , 10076 , 1692
natlist , exec , clean , 0 , 0.10 , 4080 , 76
oddeven , comp , clean , 0 , 0.20 , 10076 , 1788
oddeven , exec , clean , 0 , 0.10 , 4080 , 80
order , comp , clean , 0 , 0.20 , 10076 , 1816
order , exec , clean , 0 , 0.10 , 4080 , 80
revelt , comp , clean , 0 , 0.20 , 10076 , 1688
revelt , exec , clean , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1756
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1816
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean , 0 , 0.30 , 10076 , 1808
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 76
tricky , comp , clean , 0 , 0.20 , 10076 , 1816
tricky , exec , clean , 0 , 0.10 , 4080 , 80
calls , comp , haskell , 0 , 8.71 , 10076 , 1820
calls , exec , haskell , 0 , 0.10 , 4080 , 80
check1 , comp , haskell , 0 , 1.40 , 10076 , 1816
check1 , exec , haskell , 0 , 0.10 , 4080 , 76
check2 , comp , haskell , 0 , 1.70 , 10076 , 1760
check2 , exec , haskell , 0 , 0.10 , 4080 , 80
closure , comp , haskell , 0 , 3.60 , 10076 , 1768
closure , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.50 , 10076 , 1656
confluence , exec , haskell , 0 , 0.10 , 4080 , 76
empty , comp , haskell , 0 , 1.40 , 10076 , 1816
empty , exec , haskell , 0 , 0.10 , 4080 , 76
garbagecollection , comp , haskell , 0 , 1.60 , 10076 , 1788
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 76
hanoi4 , comp , haskell , 0 , 1.90 , 10076 , 1816
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 76
natlist , comp , haskell , 0 , 1.90 , 10076 , 1736
natlist , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 1.60 , 10076 , 1736
oddeven , exec , haskell , 0 , 0.20 , 10076 , 1816
order , comp , haskell , 0 , 1.40 , 10076 , 1736
order , exec , haskell , 0 , 0.10 , 4080 , 80
revelt , comp , haskell , 0 , 1.60 , 10076 , 1812
revelt , exec , haskell , 0 , 0.10 , 4080 , 80
searchinconditions , comp , haskell , 0 , 1.40 , 10076 , 1764
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp , haskell , 0 , 1.40 , 10076 , 1672
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 80
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1688
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 80
tricky , comp , haskell , 0 , 1.60 , 10076 , 1688
tricky , exec , haskell , 0 , 0.10 , 4080 , 80
calls , comp-exec , lnt , 0 , 2.30 , 10076 , 1812
check1 , comp-exec , lnt , 0 , 1.40 , 10076 , 1764
check2 , comp-exec , lnt , 0 , 1.40 , 10076 , 1736
closure , comp-exec , lnt , 0 , 2.80 , 10076 , 1684
confluence , comp-exec , lnt , 0 , 1.40 , 10076 , 1824
empty , comp-exec , lnt , 0 , 1.30 , 10076 , 1756
garbagecollection , comp-exec , lnt , 0 , 1.40 , 10076 , 1676
hanoi4 , comp-exec , lnt , 0 , 1.50 , 10076 , 1768
natlist , comp-exec , lnt , 0 , 1.60 , 10076 , 1692
oddeven , comp-exec , lnt , 0 , 1.40 , 10076 , 1740
order , comp-exec , lnt , 0 , 1.40 , 10076 , 1788
revelt , comp-exec , lnt , 0 , 1.40 , 10076 , 1820
searchinconditions , comp-exec , lnt , 0 , 1.40 , 10076 , 1788
soundnessofparallelengines , comp-exec , lnt , 0 , 1.40 , 10076 , 1820
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1740
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1808
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1816
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1760
check2 , comp-exec , lotos , 0 , 0.70 , 10076 , 1812
closure , comp-exec , lotos , 0 , 1.90 , 10076 , 1808
confluence , comp-exec , lotos , 0 , 0.70 , 10076 , 1820
empty , comp-exec , lotos , 0 , 0.70 , 10076 , 1820
garbagecollection , comp-exec , lotos , 0 , 0.70 , 10076 , 1816
hanoi4 , comp-exec , lotos , 0 , 0.70 , 10076 , 1684
natlist , comp-exec , lotos , 0 , 0.90 , 10076 , 1812
oddeven , comp-exec , lotos , 0 , 0.70 , 10076 , 1764
order , comp-exec , lotos , 0 , 0.70 , 10076 , 1816
revelt , comp-exec , lotos , 0 , 0.70 , 10076 , 1740
searchinconditions , comp-exec , lotos , 0 , 0.70 , 10076 , 1688
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 10076 , 1656
tautologyhard , comp-exec , lotos , 0 , 0.80 , 10076 , 1740
tricky , comp-exec , lotos , 0 , 0.70 , 10076 , 1740
calls , comp-exec , maude , 0 , 0.40 , 10076 , 1768
check1 , comp-exec , maude , 0 , 0.10 , 4080 , 76
check2 , comp-exec , maude , 0 , 0.10 , 4080 , 80
closure , comp-exec , maude , 0 , 0.60 , 10076 , 1736
confluence , comp-exec , maude , 0 , 0.10 , 4080 , 80
empty , comp-exec , maude , 0 , 0.10 , 4080 , 80
garbagecollection , comp-exec , maude , 0 , 0.10 , 4080 , 80
hanoi4 , comp-exec , maude , 0 , 0.10 , 4080 , 80
natlist , comp-exec , maude , 0 , 0.50 , 10076 , 1652
oddeven , comp-exec , maude , 0 , 3.80 , 10076 , 1740
order , comp-exec , maude , 0 , 0.10 , 4080 , 80
revelt , comp-exec , maude , 0 , 0.10 , 4080 , 76
searchinconditions , comp-exec , maude , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 4080 , 80
tautologyhard , comp-exec , maude , 0 , 0.10 , 4080 , 80
tricky , comp-exec , maude , 0 , 0.10 , 4080 , 80
calls , comp , mcrl2-default , 0 , 0.40 , 10076 , 1660
calls , exec , mcrl2-default , 0 , 0.20 , 10076 , 1812
calls , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
calls , exec , mcrl2-jittyc , 0 , 13.52 , 10076 , 1812
check1 , comp , mcrl2-default , 0 , 0.10 , 4080 , 80
check1 , exec , mcrl2-default , 0 , 0.10 , 4080 , 80
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
check1 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1688
check2 , comp , mcrl2-default , 0 , 0.10 , 4080 , 80
check2 , exec , mcrl2-default , 0 , 0.10 , 4080 , 76
