calls , comp , clean , 0 , 0.80 , 10076 , 1740
calls , exec , clean , 0 , 0.10 , 4080 , 76
check1 , comp , clean , 0 , 0.20 , 10076 , 1868
check1 , exec , clean , 0 , 0.10 , 4080 , 76
check2 , comp , clean , 0 , 0.20 , 10076 , 1896
check2 , exec , clean , 0 , 0.10 , 4080 , 76
closure , comp , clean , 0 , 0.40 , 10076 , 1812
closure , exec , clean , 0 , 0.10 , 4080 , 76
confluence , comp , clean , 0 , 0.20 , 10076 , 1912
confluence , exec , clean , 0 , 0.10 , 4080 , 80
empty , comp , clean , 0 , 0.20 , 10076 , 1928
empty , exec , clean , 0 , 0.10 , 4080 , 76
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1924
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 76
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1928
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 76
natlist , comp , clean , 0 , 0.30 , 10076 , 1908
natlist , exec , clean , 0 , 0.10 , 4080 , 76
oddeven , comp , clean , 0 , 0.20 , 10076 , 1868
oddeven , exec , clean , 0 , 0.10 , 4080 , 80
order , comp , clean , 0 , 0.20 , 10076 , 1908
order , exec , clean , 0 , 0.10 , 4080 , 76
revelt , comp , clean , 0 , 0.20 , 10076 , 1868
revelt , exec , clean , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1748
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1896
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 76
tautologyhard , comp , clean , 0 , 0.20 , 10076 , 1744
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 80
tricky , comp , clean , 0 , 0.20 , 10076 , 1924
tricky , exec , clean , 0 , 0.10 , 4080 , 80
calls , comp , haskell , 0 , 9.01 , 10076 , 1924
calls , exec , haskell , 0 , 0.10 , 4080 , 80
check1 , comp , haskell , 0 , 1.40 , 10076 , 1748
check1 , exec , haskell , 0 , 0.10 , 4080 , 80
check2 , comp , haskell , 0 , 1.40 , 10076 , 1780
check2 , exec , haskell , 0 , 0.10 , 4080 , 76
closure , comp , haskell , 0 , 3.50 , 10076 , 1744
closure , exec , haskell , 0 , 0.10 , 4080 , 76
confluence , comp , haskell , 0 , 1.40 , 10076 , 1748
confluence , exec , haskell , 0 , 0.10 , 4080 , 76
empty , comp , haskell , 0 , 1.40 , 10076 , 1912
empty , exec , haskell , 0 , 0.10 , 4080 , 80
garbagecollection , comp , haskell , 0 , 1.50 , 10076 , 1856
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 80
hanoi4 , comp , haskell , 0 , 1.80 , 10076 , 1908
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 80
natlist , comp , haskell , 0 , 2.00 , 10076 , 1812
natlist , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 1.60 , 10076 , 1900
oddeven , exec , haskell , 0 , 0.20 , 10076 , 1784
order , comp , haskell , 0 , 1.40 , 10076 , 1920
order , exec , haskell , 0 , 0.10 , 4080 , 76
