searchinconditions , comp-exec , lnt , 0 , 1.30 , 3924 , 1876
soundnessofparallelengines , comp-exec , lnt , 0 , 1.30 , 3924 , 1764
tautologyhard , comp-exec , lnt , 0 , 1.40 , 3924 , 1740
tricky , comp-exec , lnt , 0 , 1.30 , 3924 , 1732
calls , comp-exec , lotos , 0 , 0.70 , 3924 , 1788
check1 , comp-exec , lotos , 0 , 0.60 , 3924 , 1760
check2 , comp-exec , lotos , 0 , 0.60 , 3924 , 1836
confluence , comp-exec , lotos , 0 , 0.60 , 3924 , 1608
empty , comp-exec , lotos , 0 , 0.70 , 3924 , 1608
fibonacci05 , comp-exec , lotos , 0 , 0.70 , 3924 , 1736
garbagecollection , comp-exec , lotos , 0 , 0.70 , 3924 , 1796
hanoi4 , comp-exec , lotos , 0 , 0.70 , 3924 , 1608
oddeven , comp-exec , lotos , 0 , 0.70 , 3924 , 1784
order , comp-exec , lotos , 0 , 0.60 , 3924 , 1876
revelt , comp-exec , lotos , 0 , 0.70 , 3924 , 1740
searchinconditions , comp-exec , lotos , 0 , 0.70 , 3924 , 1796
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 3924 , 1800
tautologyhard , comp-exec , lotos , 0 , 0.80 , 3924 , 1784
tricky , comp-exec , lotos , 0 , 0.90 , 3924 , 1780
calls , comp-exec , maude , 0 , 0.10 , 2020 , 56
check1 , comp-exec , maude , 0 , 0.10 , 2020 , 60
check2 , comp-exec , maude , 0 , 0.10 , 2020 , 56
confluence , comp-exec , maude , 0 , 0.10 , 2020 , 56
empty , comp-exec , maude , 0 , 0.10 , 2020 , 56
fibonacci05 , comp-exec , maude , 0 , 0.10 , 2020 , 56
garbagecollection , comp-exec , maude , 0 , 0.10 , 2020 , 56
hanoi4 , comp-exec , maude , 0 , 0.10 , 2020 , 56
oddeven , comp-exec , maude , 0 , 3.40 , 3924 , 1704
order , comp-exec , maude , 0 , 0.10 , 2020 , 60
revelt , comp-exec , maude , 0 , 0.10 , 2020 , 56
searchinconditions , comp-exec , maude , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 2020 , 60
tautologyhard , comp-exec , maude , 0 , 0.10 , 2020 , 56
tricky , comp-exec , maude , 0 , 0.10 , 2020 , 56
calls , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
calls , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
calls , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 60
calls , exec , mcrl2-jittyc , 0 , 10.91 , 3924 , 1800
check1 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
check1 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
check1 , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1800
check2 , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 60
check2 , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 56
check2 , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
check2 , exec , mcrl2-jittyc , 0 , 9.31 , 3924 , 1788
confluence , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
confluence , exec , mcrl2-jitty , 0 , 0.10 , 2020 , 60
confluence , comp , mcrl2-jittyc , 0 , 0.10 , 2020 , 56
confluence , exec , mcrl2-jittyc , 0 , 9.23 , 3924 , 1796
empty , comp , mcrl2-jitty , 0 , 0.10 , 2020 , 56
